NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
90,33.2762548923,3094.86004901
91,33.4472589493,3129.13245201
92,32.8200221062,3162.34447289
93,33.8089489937,3196.82916594
94,33.4210231304,3230.54042292
95,33.6178429127,3264.63930488
96,33.1319320202,3298.05273581
97,33.314084053,3331.7308929
98,33.149998188,3365.17471194
99,33.2948019505,3398.61585593
100,33.5819880962,3432.606915
101,33.2570579052,3466.40163183
102,33.3377869129,3499.84380198
103,33.5221469402,3534.13982892
104,33.5183041096,3568.23106289
105,33.2144179344,3601.52349496
106,33.5866470337,3635.51172996
107,33.0097839832,3668.96343088
108,32.5578870773,3702.53409195
109,33.1183128357,3736.50771189
110,33.6255559921,3770.61776996
111,33.186631918,3803.89848399
112,33.5518798828,3838.14488578
113,34.0010149479,3872.43253279
114,34.5233080387,3906.9800899
115,33.1405940056,3940.31834292
116,33.3148708344,3974.08538198
117,33.7696800232,4008.54447985
118,33.6088371277,4042.27026892
119,33.519712925,4076.16395879
120,33.1155309677,4109.75317788
121,34.0586659908,4144.47635484
122,33.114841938,4178.0201838
123,32.7120919228,4211.24074888
124,33.0361280441,4245.00100589
125,34.2626390457,4279.95572281
126,33.8267600536,4313.85318589
127,34.1839168072,4348.13748789
128,34.2729589939,4382.77871585
129,33.4218528271,4416.90435886
130,33.2866809368,4450.87129188
131,32.8733131886,4484.17613387
132,34.2739109993,4519.18655682
133,33.1642451286,4552.45148683
134,33.28134799,4586.15565681
135,33.271201849,4619.77325797
136,33.4415569305,4653.47042179
137,33.7154297829,4687.71031785
138,33.6046750546,4721.49957991
139,33.116245985,4754.89252782
140,33.2084980011,4788.98104095
141,33.8094501495,4823.60684085
142,33.2759449482,4856.988657
143,33.1837120056,4890.68972278
144,32.8021280766,4924.28407192
145,33.2236077785,4958.53467679
146,33.2375478745,4992.16237783
147,33.7096831799,5026.31781578
148,33.3028891087,5059.97888589
149,33.6727619171,5094.13795686
150,34.1070330143,5128.57493401
151,33.4454591274,5162.376472
152,33.731235981,5196.60010695
153,33.8473038673,5230.95536494
154,33.6696350574,5264.85197783
155,33.0842719078,5298.40664983
156,33.196449995,5332.21714592
157,33.8180530071,5366.71023297
158,33.5225608349,5400.66199899
159,33.9697051048,5435.10404587
160,33.1271429062,5468.44426298
161,33.9515469074,5502.907552
162,32.8655250072,5536.07672
