NewTest,Mattest,bachelor3-VirtualBox
0,25.1435220242,1321362395.61
1,19.7048370838,1321362420.81
2,25.7898271084,1321362445.52
3,24.8754608631,1321362471.32
4,24.0838780403,1321362496.21
5,24.4208669662,1321362520.31
6,23.9802341461,1321362544.74
7,22.7983078957,1321362568.72
8,22.3274259567,1321362593.49
9,23.9134979248,1321362618.01
10,25.1772060394,1321362641.94
11,25.0666291714,1321362667.12
12,23.5681390762,1321362692.2
13,23.8207089901,1321362715.95
14,24.677131176,1321362739.78
15,19.0014259815,1321362764.46
16,25.122179985,1321362789.55
17,23.7571411133,1321362814.68
18,23.1928570271,1321362838.66
19,23.641397953,1321362862.96
EndTest
NewTest,I-O,bachelor3-VirtualBox
0,17.6302859783,1321362890.83
1,13.2883789539,1321362909.0
2,9.21706485748,1321362923.84
3,6.19156503677,1321362933.13
4,6.70557308197,1321362945.73
5,12.1141269207,1321362958.14
6,8.68488812447,1321362975.97
7,18.7506859303,1321362985.71
8,10.9404809475,1321363004.57
9,18.7282161713,1321363020.59
10,14.974971056,1321363039.33
11,14.2179739475,1321363054.38
12,11.845772028,1321363068.65
13,23.1400489807,1321363080.64
14,12.4554359913,1321363103.82
15,11.454927206,1321363116.39
16,10.9577050209,1321363127.96
17,14.0602669716,1321363139.33
18,9.15919589996,1321363155.58
19,15.8513610363,1321363166.84
EndTest
NewTest,SeekAndWrite,bachelor3-VirtualBox
