NewTest,SeekIndex,bachelor4-VirtualBox
0,1.17673206329,1320062529.12
1,1.14658403397,1320062530.34
2,0.938784122467,1320062531.51
3,0.845795154572,1320062532.46
4,0.744079113007,1320062533.32
5,0.540571928024,1320062534.09
6,1.08897686005,1320062535.04
7,0.695832967758,1320062536.26
8,0.536998987198,1320062536.98
9,0.487169027328,1320062537.54
10,0.429456949234,1320062538.03
11,0.557214975357,1320062538.47
12,1.00053119659,1320062539.07
13,0.483191013336,1320062540.08
14,0.818283081055,1320062540.58
15,0.818224191666,1320062541.41
16,0.490593910217,1320062542.23
17,0.527265071869,1320062542.92
18,0.43572306633,1320062543.45
19,0.471425056458,1320062543.9
20,0.856296062469,1320062544.39
21,0.455127000809,1320062545.25
22,0.569540023804,1320062545.74
23,0.971778154373,1320062546.32
24,0.73611998558,1320062547.3
25,0.561151027679,1320062548.06
26,0.514063119888,1320062548.63
27,0.808980941772,1320062549.21
28,0.478322982788,1320062550.04
29,0.346567153931,1320062550.54
30,0.512331008911,1320062551.07
31,0.729361057281,1320062551.59
32,1.37525486946,1320062552.34
33,0.604012966156,1320062553.87
34,0.493051052094,1320062554.49
35,0.580383777618,1320062554.99
36,0.601703166962,1320062555.58
37,0.566167116165,1320062556.23
38,0.91402387619,1320062556.81
39,1.05627202988,1320062557.8
40,0.493430137634,1320062558.9
41,0.473429918289,1320062559.42
42,0.471651077271,1320062559.9
43,0.728758096695,1320062560.4
44,0.330187797546,1320062561.22
45,0.50165605545,1320062561.57
46,0.481158971786,1320062562.09
47,0.154313802719,1320062562.58
48,1.3093149662,1320062562.95
49,0.301468849182,1320062564.3
50,0.644800901413,1320062564.7
51,0.365144014359,1320062565.39
52,0.550108909607,1320062565.76
53,0.59086894989,1320062566.33
54,0.586760997772,1320062566.93
55,0.588953971863,1320062567.54
56,1.48961520195,1320062568.21
57,1.34880113602,1320062569.76
58,1.27098083496,1320062571.13
59,0.929908037186,1320062572.45
60,0.543763875961,1320062573.39
