NewTest,TCP,bachelor4-VirtualBox
0,43.4463281631,1317339781.53
1,9.68037605286,1317339824.98
2,27.6432068348,1317339834.66
3,3.30542802811,1317339862.3
4,3.15711283684,1317339865.61
5,43.0271000862,1317339868.77
6,15.4565269947,1317339911.79
7,61.3507399559,1317339927.25
8,63.9994668961,1317339988.6
9,6.6151239872,1317340052.6
10,9.3483440876,1317340059.22
11,6.37304615974,1317340068.56
12,27.4473919868,1317340074.94
13,21.5210258961,1317340102.38
14,15.3964760303,1317340123.91
15,6.29918718338,1317340139.3
16,6.36806797981,1317340145.6
17,6.5513548851,1317340151.97
18,6.26344609261,1317340158.52
19,6.27210998535,1317340164.78
20,33.9873309135,1317340171.06
21,27.5264999866,1317340205.04
22,30.7901549339,1317340232.57
23,9.2134771347,1317340263.36
24,18.6222879887,1317340272.57
25,18.7199192047,1317340291.2
26,9.23744797707,1317340309.92
27,27.46139884,1317340319.15
28,6.19384717941,1317340346.62
29,6.06584095955,1317340352.81
30,6.17166113853,1317340358.88
31,60.9573941231,1317340365.05
32,12.367123127,1317340426.01
33,12.2391560078,1317340438.37
34,21.5627160072,1317340450.61
35,9.2557489872,1317340472.18
36,6.46557402611,1317340481.43
37,12.4310338497,1317340487.9
38,3.36988401413,1317340500.33
39,21.4052259922,1317340503.7
40,6.4205789566,1317340525.1
41,12.52374506,1317340531.52
42,15.5064790249,1317340544.05
43,21.259114027,1317340559.55
44,12.4503757954,1317340580.81
45,21.5448889732,1317340593.26
46,24.2686340809,1317340614.81
47,15.4141471386,1317340639.08
48,36.8899581432,1317340654.49
49,15.5619909763,1317340691.38
50,6.23668289185,1317340706.94
51,37.0447611809,1317340713.18
52,9.09124708176,1317340750.23
53,12.2257940769,1317340759.32
54,3.39717507362,1317340771.54
55,9.42932009697,1317340774.94
56,9.41040802002,1317340784.37
57,12.3506450653,1317340793.78
58,15.6554579735,1317340806.13
59,9.31512904167,1317340821.79
60,3.27101111412,1317340831.1
61,6.1760571003,1317340834.37
62,3.36396002769,1317340840.55
63,3.21326589584,1317340843.91
64,27.931167841,1317340847.13
65,9.18863081932,1317340875.06
66,6.38212203979,1317340884.25
67,3.23723506927,1317340890.63
68,18.7754797935,1317340893.87
69,12.5506839752,1317340912.64
70,9.52379894257,1317340925.19
71,9.32547903061,1317340934.72
72,27.9164471626,1317340944.04
73,51.8585970402,1317340971.96
74,24.887458086,1317341023.82
75,57.8694679737,1317341048.71
76,3.17328596115,1317341106.58
77,3.35840010643,1317341109.75
78,21.4539577961,1317341113.11
79,3.48300409317,1317341134.56
80,3.38983297348,1317341138.04
81,9.5463488102,1317341141.43
82,45.7747290134,1317341150.98
83,9.20788097382,1317341196.76
84,42.5906579494,1317341205.96
85,9.30779290199,1317341248.56
86,6.21371507645,1317341257.86
87,18.7127389908,1317341264.08
88,67.0957760811,1317341282.79
89,9.33499193192,1317341349.89
90,18.4790279865,1317341359.22
91,12.2043919563,1317341377.7
92,12.332308054,1317341389.9
93,18.655559063,1317341402.24
