NewTest,Mattest,bachelor1-VirtualBox
0,25.4051060677,1321367345.51
1,22.3577880859,1321367371.25
2,21.534496069,1321367397.88
3,24.0549271107,1321367423.77
4,20.0906159878,1321367447.83
5,16.4912419319,1321367473.55
6,17.1465539932,1321367497.65
7,24.1757860184,1321367521.67
8,19.7498519421,1321367545.86
9,16.5047581196,1321367570.16
10,24.3894901276,1321367594.23
11,16.3659460545,1321367618.65
12,23.5506370068,1321367642.55
13,24.0113399029,1321367666.28
14,23.4052028656,1321367690.44
15,16.2070741653,1321367714.75
16,21.1802771091,1321367739.02
17,23.508699894,1321367764.6
18,16.4426040649,1321367788.86
19,25.6643879414,1321367812.92
EndTest
NewTest,I-O,bachelor1-VirtualBox
0,13.1400308609,1321367842.63
1,10.0734021664,1321367856.13
2,12.1778872013,1321367872.07
3,15.2885191441,1321367886.21
4,4.16207408905,1321367901.5
5,15.4649980068,1321367915.51
6,12.8695681095,1321367931.22
7,7.80205082893,1321367952.2
8,14.5304450989,1321367962.15
9,14.6531860828,1321367977.69
10,15.7231090069,1321367992.34
11,12.3365437984,1321368008.07
12,13.5992701054,1321368021.28
13,16.7019200325,1321368034.9
14,16.1791269779,1321368051.62
15,10.2299630642,1321368067.81
16,11.5739409924,1321368082.1
17,11.7965810299,1321368095.74
18,8.04209399223,1321368108.17
19,13.2390871048,1321368120.24
EndTest
NewTest,SeekAndWrite,bachelor1-VirtualBox
0,1.16097307205,1321368140.41
1,1.00747680664,1321368141.8
2,0.232487916946,1321368143.09
3,0.239243030548,1321368143.56
4,0.0225639343262,1321368143.94
5,0.216714859009,1321368144.07
6,0.181941986084,1321368144.39
7,0.475051879883,1321368144.6
8,0.309006929398,1321368145.11
9,0.234660863876,1321368145.45
10,0.298184871674,1321368145.74
11,0.144643068314,1321368146.06
12,0.183768987656,1321368146.53
13,0.169457912445,1321368146.78
14,0.211081027985,1321368147.0
15,0.277987957001,1321368147.26
16,0.204133987427,1321368147.56
17,0.0962841510773,1321368147.79
18,0.204487085342,1321368147.94
19,0.238881111145,1321368148.23
EndTest
NewTest,SeekIndex,bachelor1-VirtualBox
0,0.21275305748,1321368152.66
1,0.0475099086761,1321368152.92
2,0.169440031052,1321368153.07
3,0.0470099449158,1321368153.3
4,0.111102104187,1321368153.52
5,0.15584397316,1321368153.72
6,0.0760819911957,1321368153.93
7,0.140234947205,1321368154.09
8,0.0473899841309,1321368154.29
9,0.0581798553467,1321368154.36
10,0.027911901474,1321368154.57
11,0.154469013214,1321368154.7
12,0.142024040222,1321368154.98
13,0.107668876648,1321368155.12
14,0.0656077861786,1321368155.36
15,0.181282997131,1321368155.48
16,0.0313010215759,1321368155.67
17,0.0315308570862,1321368155.72
18,0.0652098655701,1321368155.85
19,0.118813037872,1321368156.11
EndTest
NewTest,TCP,bachelor1-VirtualBox
0,9.46088981628,1321368160.34
1,9.15374684334,1321368169.8
2,15.3479759693,1321368178.96
3,15.4437270164,1321368194.31
4,3.06602120399,1321368209.75
5,3.32281589508,1321368212.82
6,15.2803812027,1321368216.14
7,6.08613610268,1321368231.42
8,6.19575595856,1321368237.51
9,15.0290129185,1321368243.7
10,3.18465900421,1321368258.73
11,3.18768215179,1321368261.92
12,9.20491814613,1321368265.1
13,9.19979810715,1321368274.31
14,5.9239180088,1321368283.51
15,2.89402794838,1321368289.43
16,3.01759600639,1321368292.33
17,2.9479970932,1321368295.34
18,12.5283880234,1321368298.29
19,3.23493313789,1321368310.82
EndTest
