NewTest,Mattest,bachelor2-VirtualBox
0,24.798099041,1321365160.28
1,24.2453122139,1321365186.13
2,22.7892639637,1321365211.15
3,16.8926560879,1321365235.78
4,23.9548211098,1321365259.61
EndTest
NewTest,I-O,bachelor2-VirtualBox
0,17.3883750439,1321365287.63
1,11.3288350105,1321365305.14
2,10.4748489857,1321365316.47
3,13.4404850006,1321365326.95
4,15.134469986,1321365340.62
EndTest
NewTest,SeekAndWrite,bachelor2-VirtualBox
0,3.55170297623,1321365359.93
1,0.198349952698,1321365364.06
2,0.117905139923,1321365364.39
3,0.120083093643,1321365364.53
4,0.413874864578,1321365364.72
EndTest
NewTest,SeekIndex,bachelor2-VirtualBox
0,0.276947975159,1321365369.19
1,0.0421509742737,1321365369.5
2,0.145202159882,1321365369.71
3,0.0605511665344,1321365369.92
4,0.0525479316711,1321365370.06
EndTest
NewTest,TCP,bachelor2-VirtualBox
0,6.06872701645,1321365374.27
1,3.32081007957,1321365380.34
2,6.27492785454,1321365383.66
3,3.25443601608,1321365389.94
4,12.1417999268,1321365393.19
EndTest
