NewTest,TCP,bachelor1-VirtualBox
0,6.79455900192,1317339781.54
1,15.5256159306,1317339788.34
2,12.7375240326,1317339803.86
3,21.5717401505,1317339816.6
4,6.77058291435,1317339838.17
5,15.5720629692,1317339844.94
6,12.2817320824,1317339860.52
7,6.347012043,1317339872.8
8,3.1153011322,1317339879.15
9,6.40958404541,1317339882.26
10,3.28272819519,1317339888.67
11,12.4863078594,1317339891.95
12,34.0461549759,1317339904.44
13,6.10641598701,1317339938.49
14,6.14058685303,1317339944.59
15,3.4616150856,1317339950.73
16,15.6153788567,1317339954.2
17,9.52016401291,1317339969.81
18,30.7371270657,1317339979.33
19,6.14651799202,1317340010.07
20,3.13644385338,1317340016.22
21,3.36099004745,1317340019.35
22,3.2118461132,1317340022.71
23,12.3692011833,1317340025.93
24,6.31538510323,1317340038.3
25,3.53070998192,1317340044.61
26,12.5092291832,1317340048.14
27,6.74020504951,1317340060.65
28,21.4247941971,1317340067.39
29,3.20194506645,1317340088.82
30,3.23656821251,1317340092.02
31,6.09426403046,1317340095.26
32,6.20064210892,1317340101.35
33,3.24450182915,1317340107.55
34,3.49392199516,1317340110.8
35,18.4387719631,1317340114.29
36,21.4265420437,1317340132.73
37,6.43091702461,1317340154.16
38,24.9505600929,1317340160.59
39,9.72744202614,1317340185.54
40,33.6250140667,1317340195.27
41,27.7263479233,1317340228.89
42,12.3246078491,1317340256.62
43,12.7089829445,1317340268.94
44,12.7263219357,1317340281.65
45,33.5991551876,1317340294.38
46,6.60048699379,1317340327.98
47,15.2471549511,1317340334.58
48,12.2980349064,1317340349.82
49,9.44808506966,1317340362.12
50,9.39384484291,1317340371.57
51,12.495374918,1317340380.96
52,6.56730794907,1317340393.46
53,6.35017108917,1317340400.03
54,3.1884329319,1317340406.38
55,12.3811411858,1317340409.57
56,6.25995588303,1317340421.95
57,27.4792480469,1317340428.21
58,9.28332400322,1317340455.69
59,12.4802389145,1317340464.97
60,30.8157830238,1317340477.45
61,3.11090707779,1317340508.27
62,42.8509500027,1317340511.38
63,15.4739539623,1317340554.23
64,27.6200811863,1317340569.7
65,39.4412841797,1317340597.32
66,6.06511497498,1317340636.77
67,6.28011488914,1317340642.83
68,15.5894429684,1317340649.11
69,3.22724199295,1317340664.7
70,21.4752380848,1317340667.93
71,12.3753650188,1317340689.4
72,21.37976408,1317340701.78
73,6.20210790634,1317340723.16
74,3.25239610672,1317340729.36
75,3.35006999969,1317340732.61
76,12.5069050789,1317340735.96
77,15.4404811859,1317340748.47
78,24.7130169868,1317340763.91
79,30.458947897,1317340788.63
80,33.7731990814,1317340819.08
81,12.3696899414,1317340852.86
82,6.21041989326,1317340865.23
83,9.12083005905,1317340871.44
84,15.6223111153,1317340880.56
85,3.35624194145,1317340896.18
86,9.97340488434,1317340899.54
87,6.10037398338,1317340909.51
88,12.508327961,1317340915.61
89,18.6506130695,1317340928.12
90,9.34882903099,1317340946.77
91,9.21356296539,1317340956.12
92,39.664812088,1317340965.33
93,6.57455182076,1317341005.0
94,3.1617500782,1317341011.57
95,24.5236399174,1317341014.74
96,24.535943985,1317341039.26
97,36.983123064,1317341063.8
98,21.4165101051,1317341100.78
99,33.7055881023,1317341122.2
100,6.39614486694,1317341155.9
101,3.15231990814,1317341162.3
102,36.8643219471,1317341165.45
103,15.4059669971,1317341202.32
104,9.22373008728,1317341217.72
105,15.1782269478,1317341226.95
106,9.19896602631,1317341242.12
107,3.21116280556,1317341251.32
108,15.575948,1317341254.53
109,27.5644259453,1317341270.11
110,6.39633512497,1317341297.68
111,9.45839905739,1317341304.07
112,6.15063214302,1317341313.53
113,3.21476793289,1317341319.68
114,21.4380059242,1317341322.9
115,3.28634905815,1317341344.33
116,18.4086718559,1317341347.62
117,3.38267707825,1317341366.03
118,3.32532310486,1317341369.41
119,9.32068705559,1317341372.74
120,3.10274386406,1317341382.06
121,12.3590860367,1317341385.16
122,15.3139588833,1317341397.52
123,18.3769049644,1317341412.83
124,24.4704909325,1317341431.21
125,9.59806513786,1317341455.68
126,6.24440598488,1317341465.28
127,9.35413098335,1317341471.53
128,67.3413860798,1317341480.88
129,9.322961092,1317341548.23
130,12.2774472237,1317341557.55
131,12.4559891224,1317341569.83
132,6.40934610367,1317341582.28
133,12.3468210697,1317341588.69
134,36.5898489952,1317341601.04
135,9.32721304893,1317341637.63
136,15.3791890144,1317341646.96
137,6.27942180634,1317341662.34
138,3.20098304749,1317341668.62
139,6.41261506081,1317341671.82
140,3.44839406013,1317341678.23
141,18.6014101505,1317341681.68
142,3.25499296188,1317341700.28
143,3.16695904732,1317341703.54
144,6.15842008591,1317341706.7
145,3.19410204887,1317341712.86
146,6.4089448452,1317341716.06
147,3.21137690544,1317341722.47
148,9.30741786957,1317341725.68
149,34.016769886,1317341734.98
150,12.4340338707,1317341769.0
151,3.24995708466,1317341781.44
152,12.2857301235,1317341784.69
153,9.17443919182,1317341796.97
154,15.3684091568,1317341806.15
155,21.6806268692,1317341821.52
156,21.5562911034,1317341843.2
157,3.03478312492,1317341864.75
158,3.14843511581,1317341867.79
159,18.5517148972,1317341870.94
160,9.34185099602,1317341889.49
161,9.35138487816,1317341898.83
162,24.7042040825,1317341908.18
163,6.36385989189,1317341932.89
164,3.27231001854,1317341939.25
165,15.4799790382,1317341942.52
166,3.32918286324,1317341958.0
167,30.7235441208,1317341961.33
168,9.48168087006,1317341992.06
169,9.21367907524,1317342001.54
170,3.11029195786,1317342010.75
171,24.7116911411,1317342013.86
172,6.42443609238,1317342038.57
173,6.36831593513,1317342045.0
174,40.0184202194,1317342051.37
175,3.11998605728,1317342091.39
176,9.64042186737,1317342094.51
177,3.38546490669,1317342104.15
178,3.18316411972,1317342107.53
179,3.21620988846,1317342110.72
180,9.50348806381,1317342113.93
181,15.4044108391,1317342123.44
182,12.6651539803,1317342138.84
183,3.3657579422,1317342151.51
184,9.3031539917,1317342154.87
185,27.4834837914,1317342164.17
186,6.22313499451,1317342191.66
187,9.63992190361,1317342197.88
188,9.34379196167,1317342207.52
189,21.5226998329,1317342216.87
190,3.17055296898,1317342238.39
191,6.32029104233,1317342241.56
192,12.515638113,1317342247.88
193,40.371847868,1317342260.4
194,21.6780841351,1317342300.77
195,9.34521389008,1317342322.45
196,27.7196030617,1317342331.79
197,3.19569420815,1317342359.51
198,51.7937991619,1317342362.71
199,6.49364995956,1317342414.5
EndTest
