NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,15.2350459099,1314193065.22
1,11.0412130356,1314193080.71
2,20.0830960274,1314193100.32
3,15.085408926,1314193120.85
4,12.4807090759,1314193141.49
5,19.5000829697,1314193172.52
6,24.3825039864,1314193193.37
7,17.3197548389,1314193217.77
8,13.0439121723,1314193235.11
9,3.28036403656,1314193254.77
10,17.2756359577,1314193274.54
11,23.9247329235,1314193292.57
12,25.9063460827,1314193317.01
13,19.1058409214,1314193343.0
14,16.8242959976,1314193367.46
15,26.1328361034,1314193391.47
16,12.2668418884,1314193420.19
17,5.44506716728,1314193441.83
18,17.4434309006,1314193463.92
19,16.8522279263,1314193485.36
20,6.96615600586,1314193510.29
21,18.9791629314,1314193530.42
22,11.9880731106,1314193553.59
23,16.1019060612,1314193570.98
24,16.3271930218,1314193597.12
25,23.900646925,1314193613.45
26,11.4718878269,1314193637.36
27,6.80761599541,1314193654.26
28,17.5784978867,1314193671.0
29,16.0099480152,1314193690.97
30,27.2948310375,1314193708.02
31,15.6841859818,1314193735.32
32,21.7282550335,1314193753.77
33,21.6377820969,1314193775.51
34,24.4394831657,1314193797.16
35,15.5673999786,1314193821.63
36,14.6237490177,1314193838.25
37,14.8806891441,1314193861.29
38,6.53406405449,1314193881.56
39,21.5796449184,1314193902.32
40,16.861342907,1314193930.99
41,21.1369481087,1314193949.39
42,20.2846570015,1314193970.55
43,9.27205204964,1314193994.91
44,6.27704000473,1314194015.57
45,19.0965280533,1314194040.5
46,26.3260290623,1314194059.62
47,10.3195459843,1314194086.9
48,6.49022698402,1314194102.51
49,17.9434211254,1314194120.94
50,17.6035950184,1314194139.51
51,3.85040187836,1314194161.11
52,17.026293993,1314194181.77
53,24.7154688835,1314194202.07
54,19.7791218758,1314194226.79
55,18.0212891102,1314194253.44
56,10.0367019176,1314194271.46
57,5.69239187241,1314194293.72
58,17.7828259468,1314194314.12
59,24.0855360031,1314194334.39
60,25.3920137882,1314194359.72
61,10.1579699516,1314194385.14
62,3.96093916893,1314194400.94
63,14.8071680069,1314194425.3
64,11.5195438862,1314194443.83
65,15.9271569252,1314194461.93
66,9.69179391861,1314194482.77
67,14.8395020962,1314194502.95
68,7.60623407364,1314194528.19
69,14.8862280846,1314194545.51
70,21.1666960716,1314194560.42
71,11.9796738625,1314194581.59
72,5.67536187172,1314194603.83
73,21.3937931061,1314194627.82
74,24.5624549389,1314194649.65
75,11.1598851681,1314194677.1
76,16.0160820484,1314194700.57
77,12.9681169987,1314194722.09
78,17.7284479141,1314194742.27
79,17.5559389591,1314194762.01
80,19.1488029957,1314194779.58
81,14.8657398224,1314194803.09
82,6.20858693123,1314194822.84
83,19.8889319897,1314194842.75
84,16.3091030121,1314194863.53
85,19.7085762024,1314194881.78
