NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,44.7293629646,1314208780.86
1,31.9652700424,1314208827.24
2,30.6908578873,1314208860.46
3,20.5142700672,1314208893.4
4,8.17000317574,1314208915.32
5,12.0397047997,1314208939.02
6,18.8719160557,1314208959.57
7,42.8652160168,1314208979.46
8,22.9228708744,1314209022.36
9,19.658673048,1314209045.32
10,12.1881711483,1314209074.63
11,5.28254985809,1314209096.29
12,14.354006052,1314209119.85
13,13.6466498375,1314209136.5
14,24.9324450493,1314209154.41
15,13.53155303,1314209179.79
16,19.9297559261,1314209193.34
17,22.2616820335,1314209213.36
18,12.5352571011,1314209235.65
19,12.2777049541,1314209249.18
20,10.8088779449,1314209266.91
21,5.32969403267,1314209279.27
22,5.33124899864,1314209291.98
23,4.15854787827,1314209306.52
24,7.09489989281,1314209320.88
25,4.95844697952,1314209334.82
26,17.0361440182,1314209351.55
27,12.2242929935,1314209369.19
28,12.0038640499,1314209385.68
29,19.781607151,1314209397.85
30,13.0370650291,1314209417.71
31,19.1021499634,1314209430.81
32,15.6534969807,1314209449.96
33,8.43025493622,1314209471.18
34,19.2486858368,1314209485.31
35,14.21205616,1314209504.6
36,18.6916441917,1314209526.24
37,17.4960541725,1314209548.58
38,25.5208969116,1314209572.43
39,18.9107320309,1314209598.82
40,21.0734579563,1314209619.12
41,22.7337009907,1314209640.31
42,9.03887104988,1314209663.07
43,21.308642149,1314209680.76
44,15.8105471134,1314209707.15
45,18.6414980888,1314209727.37
46,12.6446650028,1314209746.1
47,15.6142501831,1314209762.44
48,10.1285550594,1314209790.88
49,4.46969485283,1314209809.56
50,4.85119509697,1314209838.17
51,3.94189596176,1314209857.7
52,11.8886198997,1314209885.68
53,4.21043610573,1314209909.31
54,4.55472207069,1314209931.54
55,4.74252414703,1314209950.8
56,5.38592100143,1314209964.67
57,22.8148889542,1314209989.62
58,14.6037790775,1314210012.89
59,15.9820129871,1314210030.59
60,23.2468979359,1314210048.32
61,12.9711091518,1314210077.45
62,17.0672290325,1314210096.88
63,22.9088609219,1314210114.56
64,5.60750508308,1314210144.1
65,4.3443801403,1314210157.74
66,11.3409888744,1314210172.87
67,6.37581396103,1314210186.97
68,4.99143695831,1314210198.73
69,18.9060380459,1314210211.91
70,13.9423921108,1314210231.53
71,19.1803610325,1314210245.5
72,12.9748380184,1314210264.72
73,16.1548609734,1314210277.82
74,19.3332719803,1314210294.04
75,17.1475050449,1314210314.07
76,10.9742078781,1314210331.27
77,19.3186819553,1314210345.2
78,15.7248690128,1314210379.59
79,37.7882239819,1314210395.38
80,23.9707028866,1314210433.95
81,21.3689789772,1314210462.64
82,12.2855288982,1314210484.15
83,8.02074313164,1314210500.45
84,6.14914608002,1314210518.16
85,16.6036748886,1314210532.01
86,21.8431789875,1314210549.05
87,12.9290230274,1314210571.42
88,11.2554500103,1314210588.0
89,18.7185609341,1314210604.17
90,15.7214770317,1314210622.96
91,10.4290590286,1314210643.26
92,9.34433698654,1314210661.04
93,4.34205102921,1314210677.97
94,10.1980080605,1314210696.19
95,5.0256960392,1314210710.22
96,5.3616900444,1314210731.16
