NewTest,Mattest,bachelor1-VirtualBox
0,25.1786680222,1321362395.62
1,23.3997609615,1321362420.81
2,21.6365499496,1321362445.52
3,18.2086448669,1321362471.31
4,16.372191906,1321362496.19
5,22.9597909451,1321362520.29
6,16.3473749161,1321362544.72
7,24.7550020218,1321362568.72
8,22.9801621437,1321362593.48
9,23.6500780582,1321362618.0
10,19.7402908802,1321362641.92
11,22.0686841011,1321362667.11
12,16.5633969307,1321362692.18
13,16.373611927,1321362715.94
14,19.9379739761,1321362739.76
15,22.4970691204,1321362764.46
16,18.6716198921,1321362789.54
17,23.9791169167,1321362814.67
18,18.1207211018,1321362838.65
19,16.3961818218,1321362862.95
EndTest
NewTest,I-O,bachelor1-VirtualBox
0,16.3698339462,1321362890.82
1,14.8477470875,1321362908.98
2,8.63379907608,1321362923.83
3,6.09998178482,1321362933.07
4,8.26256990433,1321362945.72
5,14.9805300236,1321362958.13
6,5.31226015091,1321362975.96
7,11.2377049923,1321362985.7
8,16.0398840904,1321363004.48
9,14.2208499908,1321363020.58
10,12.9973201752,1321363039.31
11,10.7932529449,1321363054.31
12,7.2015850544,1321363068.6
13,16.4022579193,1321363080.5
14,8.44285607338,1321363103.8
15,6.30720806122,1321363116.28
16,3.54515004158,1321363127.86
17,13.1487388611,1321363139.32
18,11.2499139309,1321363155.57
19,10.872426033,1321363166.85
EndTest
NewTest,SeekAndWrite,bachelor1-VirtualBox
