NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
0,34.8073170185,34.8152010441
1,34.8055379391,69.6229231358
2,33.9146289825,103.565434217
3,33.6253798008,137.332477093
4,34.2971980572,172.160270214
5,34.2694821358,206.436079025
6,34.92111516,241.36660409
7,33.7863128185,275.631962061
8,33.3048658371,308.94057703
9,32.5297558308,341.659873009
10,33.5241761208,375.907413006
11,33.0427839756,409.211232185
12,33.4131519794,443.219655991
13,33.4579670429,476.767538071
14,33.6242690086,510.440986156
15,34.2290799618,544.716070175
16,33.6542830467,578.374858141
17,33.7204749584,612.260351181
18,33.8723740578,646.136373043
19,33.5606729984,679.859741211
20,33.8950409889,713.767500162
21,34.1390509605,747.908876181
22,33.8372180462,781.769241095
23,34.1904871464,816.153386116
24,34.0475327969,850.205284119
25,33.8599448204,884.068837166
26,34.1723868847,918.514528036
27,33.6464519501,952.187649012
28,33.8722360134,986.232369184
29,33.0152549744,1019.2560091
30,34.0556459427,1053.95897317
31,34.1181838512,1088.17742205
32,34.0173659325,1123.07844019
33,34.7727909088,1158.47590303
34,33.993945837,1192.48937821
35,33.1948130131,1225.69532919
36,34.3115079403,1260.59635806
37,33.1774909496,1293.79211307
38,33.9650509357,1328.30715799
39,33.8129069805,1362.14545417
40,33.7777149677,1396.59875512
41,33.91178298,1430.63863206
42,33.809360981,1464.46617103
43,33.9567759037,1498.64773417
44,33.5722939968,1532.24054813
45,33.9553878307,1566.71202612
46,33.9411289692,1600.86883402
47,33.2997379303,1634.17292309
48,33.5737738609,1668.10788703
49,34.037858963,1702.25243711
50,34.3402681351,1736.60373616
51,33.7782320976,1770.447505
52,34.6820058823,1805.40821314
53,33.7255649567,1839.171242
54,33.872592926,1873.05202317
55,33.9340031147,1907.23659015
56,33.8916940689,1941.14088321
57,33.9393129349,1975.17800212
58,33.7904281616,2008.97064304
59,33.7515320778,2042.740942
60,34.2594180107,2077.34944606
61,34.0250580311,2111.50603104
62,33.5930860043,2145.14267921
63,33.8520259857,2179.31261015
64,32.9933588505,2212.37253809
65,33.2813000679,2246.46266723
66,33.7444150448,2280.54250312
67,33.9449188709,2314.9964962
68,33.9586789608,2349.22398019
69,34.4003310204,2383.62634301
70,33.6081278324,2417.23668218
71,33.8464148045,2451.4473052
72,33.298511982,2485.19850206
73,34.7587580681,2520.52211499
74,33.7093658447,2554.26481199
75,34.0096240044,2588.36133814
76,33.964963913,2622.34879422
77,33.9501948357,2656.30988002
78,34.3162989616,2690.65136504
79,34.206715107,2724.86852121
80,33.4381639957,2758.3211782
81,33.0176699162,2791.51437306
82,33.2807319164,2825.27552009
83,32.9644708633,2858.29824114
84,33.2638120651,2891.88764
85,33.2733459473,2925.66866803
86,33.8339500427,2959.83605313
87,33.8355948925,2993.67510915
88,33.904954195,3027.81828809
89,33.5957541466,3061.41624522
90,33.7642929554,3095.36061907
91,33.334897995,3128.70752311
92,33.4978871346,3162.48475599
93,33.4694478512,3195.97979712
94,34.0377659798,3230.1043911
95,34.0277440548,3264.13512206
96,34.2356688976,3298.39546919
97,34.2168040276,3332.62214899
98,33.8010499477,3366.42580104
99,33.0581967831,3399.74051499
100,33.795126915,3434.11605501
101,33.2708499432,3467.50723505
102,33.9081661701,3501.99204922
103,33.950854063,3536.03990817
104,34.3590650558,3570.83106899
105,34.2322440147,3605.07882619
106,34.7609050274,3639.85103321
107,34.3617520332,3674.28978014
108,34.4963619709,3708.84229922
109,34.0964269638,3743.1087172
110,34.5598468781,3778.17692113
111,34.0973451138,3812.27800202
112,34.6453859806,3847.36659718
113,34.4875240326,3881.87663412
114,34.4627120495,3916.35087109
115,34.8798429966,3951.34174204
116,33.1443941593,3984.49303102
117,32.8666160107,4018.17759299
118,33.714564085,4052.75603819
119,32.9914910793,4085.77415514
120,33.466094017,4119.7639811
121,33.2032840252,4152.98822308
122,33.5399129391,4186.91228414
123,34.4525940418,4221.3741591
124,33.7989480495,4255.19453812
125,33.6436231136,4288.93099713
126,33.4718270302,4322.41386318
127,33.301158905,4355.80554509
128,33.5202100277,4389.35156202
129,33.5972981453,4423.51938009
130,33.8678069115,4457.47951007
131,33.6092891693,4491.09110212
132,34.18277812,4525.34592915
133,33.6183671951,4558.994596
134,33.8950459957,4593.19827318
135,33.4796290398,4626.67985606
136,33.607104063,4660.32350206
137,33.4029660225,4693.92007113
138,33.8887059689,4728.12409711
139,33.6492049694,4761.91400123
140,33.6558461189,4795.66884804
141,34.34699893,4830.07559705
142,34.2352519035,4864.32070303
143,33.7103381157,4898.05614614
144,34.3817708492,4932.69754314
145,34.399682045,4967.12488508
146,33.2690310478,5000.41455722
147,34.073499918,5035.12103701
148,33.5050048828,5068.79058909
149,33.5763370991,5102.43157721
150,34.6154720783,5137.37673712
151,34.5230031013,5171.90847015
152,34.0042660236,5205.99171615
153,34.0548620224,5240.61669922
154,33.3224198818,5273.95101714
155,33.3640060425,5308.02153111
156,33.7006092072,5342.21619511
157,33.6200799942,5375.86257005
158,33.8465549946,5409.71223307
159,34.1716151237,5443.89987421
160,34.0810527802,5477.99022508
161,34.2685689926,5512.26087022
162,33.6129598618,5545.90046501
163,33.6413860321,5580.04449701
164,33.9986879826,5614.4287231
165,33.8195369244,5648.25954318
166,34.3516600132,5682.6457231
167,34.1481599808,5716.82137012
168,33.5076720715,5750.85586619
169,34.5711839199,5785.97911119
170,34.271433115,5820.26320815
171,34.1070148945,5854.37904906
172,33.4861309528,5887.86748815
173,33.400758028,5921.65705919
174,33.7463109493,5955.98210812
175,34.3118069172,5990.29589605
176,33.6521778107,6024.09480119
177,34.1756210327,6058.56159806
178,34.4081270695,6092.99413705
179,34.3104259968,6127.32628417
180,33.7086861134,6161.03758812
181,33.7763609886,6194.87504911
182,33.1150918007,6227.99940419
183,33.6133389473,6262.03076911
184,34.2938148975,6296.46478701
185,33.4393131733,6329.90753722
186,34.1428539753,6364.61669707
187,34.2272200584,6398.95018911
188,34.1611218452,6433.1134932
189,33.8545951843,6467.02824402
190,33.8370161057,6500.90026116
191,32.8871459961,6533.81389904
192,33.9816269875,6568.5786972
193,33.3844590187,6601.98405313
194,33.8845589161,6636.22923303
195,33.7340250015,6669.96675301
196,34.1907300949,6704.40214515
197,34.0044639111,6738.42603922
198,33.2160730362,6771.65392709
199,34.2355420589,6806.24883223
200,33.1294639111,6839.38656306
201,32.9002859592,6872.6590302
202,33.5819129944,6906.84847021
203,33.3244240284,6940.17602015
204,33.9660611153,6975.11713719
205,34.1710720062,7009.41010308
206,33.9997298717,7043.66914606
207,33.1790530682,7076.85774302
208,33.5723249912,7110.75445914
209,33.239000082,7144.06643009
