NewTest,SeekAndWrite,bachelor2-VirtualBox
0,241.995346069,1317854464.01
1,198.261466026,1317854706.06
2,219.723036051,1317854904.55
3,60.8861811161,1317855130.22
4,91.0852508545,1317855191.65
5,116.816815138,1317855284.2
6,198.79618597,1317855402.15
7,57.0359270573,1317855604.75
8,143.925790071,1317855665.21
9,225.712177038,1317855809.3
10,88.0970470905,1317856036.77
11,270.849692106,1317856126.29
12,286.698148012,1317856398.13
13,20.1747510433,1317856691.82
14,131.072603226,1317856713.38
15,302.546085119,1317856845.46
16,100.239356041,1317857148.37
17,47.357656002,1317857248.69
18,211.966330051,1317857296.1
19,124.94988203,1317857508.19
20,284.789608955,1317857633.19
21,62.8904159069,1317857919.12
22,19.6522500515,1317857983.67
23,203.835947037,1317858007.64
24,36.336179018,1317858211.56
25,275.541771889,1317858253.35
26,153.749258995,1317858533.07
27,265.443052053,1317858693.19
28,297.450626135,1317858958.75
29,158.579444885,1317859256.32
30,7.08645915985,1317859415.03
31,94.1641180515,1317859422.14
32,206.128535986,1317859516.37
33,46.5491640568,1317859723.19
34,60.678030014,1317859770.42
35,21.5860569477,1317859832.97
36,227.138730049,1317859854.6
37,297.959667921,1317860088.14
38,253.903765202,1317860394.24
39,205.570663214,1317860648.18
40,249.290864944,1317860853.91
41,270.281320095,1317861106.25
42,64.7913661003,1317861377.94
43,178.346031904,1317861442.75
44,182.917248011,1317861621.15
45,15.5789408684,1317861809.92
46,190.137759924,1317861825.53
47,187.227620125,1317862015.75
48,263.900722027,1317862203.91
49,131.124541998,1317862468.73
50,129.280730009,1317862599.89
51,27.3984200954,1317862729.26
52,147.729044199,1317862757.24
53,237.241410017,1317862905.04
54,11.6207640171,1317863150.48
55,65.6596372128,1317863163.03
56,16.0680270195,1317863228.72
57,73.4576480389,1317863247.49
58,172.033002138,1317863322.79
59,91.0105109215,1317863494.86
60,178.143482924,1317863586.29
61,274.794447899,1317863767.41
62,115.999232054,1317864049.32
63,157.081343889,1317864165.36
64,105.637277126,1317864322.49
65,100.399840832,1317864428.85
66,306.036399841,1317864529.81
67,164.585551023,1317864844.93
68,113.375256062,1317865009.54
69,84.6827709675,1317865122.95
70,142.506670952,1317865207.69
71,187.175978899,1317865350.21
72,130.24856782,1317865539.58
73,213.232300997,1317865672.01
74,43.3164589405,1317865887.36
75,172.214314938,1317865933.61
76,167.815521002,1317866107.33
77,256.409334898,1317866275.48
78,176.960659981,1317866531.91
79,31.9699859619,1317866711.47
80,62.1107749939,1317866743.81
81,173.637577057,1317866806.0
82,165.931099892,1317866979.66
83,152.237267017,1317867145.62
84,83.4493048191,1317867300.51
85,43.0244941711,1317867383.98
86,286.049926996,1317867427.26
87,221.722314835,1317867717.76
88,229.530308008,1317867940.16
89,133.935916185,1317868175.33
90,59.1268308163,1317868309.32
91,158.625883818,1317868368.49
92,177.295633078,1317868534.38
93,233.318191051,1317868711.71
94,282.174514055,1317868945.1
95,42.4094839096,1317869227.33
96,89.2910850048,1317869270.3
97,245.650826931,1317869360.14
98,183.417877913,1317869605.96
99,290.840141058,1317869795.1
100,148.010102987,1317870086.18
101,113.347840071,1317870235.11
102,149.234774113,1317870348.52
103,114.180477142,1317870498.57
104,45.63667202,1317870613.03
105,269.236321926,1317870663.12
106,88.7801470757,1317870932.37
107,22.0185189247,1317871021.24
108,259.901597023,1317871043.29
109,124.456944942,1317871303.24
110,67.8812191486,1317871427.8
111,179.367267847,1317871499.36
112,292.515769005,1317871678.78
113,21.2226760387,1317871972.46
114,79.3562481403,1317871993.9
115,252.607784033,1317872073.28
116,180.712270021,1317872325.93
117,109.274091959,1317872506.67
118,57.589455843,1317872616.43
119,246.53934288,1317872674.04
120,292.440471172,1317872920.62
121,35.9038348198,1317873213.12
122,110.790390968,1317873249.06
123,210.083390951,1317873361.1
124,220.097893953,1317873572.11
125,4.91919207573,1317873792.22
126,261.971344948,1317873797.2
127,170.593173981,1317874059.24
128,182.940117836,1317874229.87
129,116.919168949,1317874413.74
130,186.091568947,1317874532.51
131,80.0745241642,1317874718.63
132,47.7588419914,1317874798.74
133,80.997551918,1317874846.81
134,250.887355089,1317874927.83
135,104.441267014,1317875183.94
136,43.5412890911,1317875288.45
137,43.046642065,1317875332.02
138,55.1806130409,1317875375.1
139,216.064961195,1317875430.97
140,48.9579911232,1317875647.06
141,260.093784094,1317875697.69
142,203.633572102,1317875957.84
143,110.971355915,1317876161.53
144,200.782060862,1317876273.28
145,175.692423105,1317876474.3
146,288.562682867,1317876652.06
147,275.471145868,1317876942.19
148,35.594340086,1317877218.6
149,122.470031023,1317877254.24
150,298.495902061,1317877376.75
151,157.362185001,1317877676.04
152,149.704271078,1317877834.57
153,300.685521126,1317877984.29
154,81.1664888859,1317878285.0
155,93.185749054,1317878368.15
156,187.93322587,1317878465.61
157,292.793208838,1317878653.55
158,183.979846001,1317878946.38
159,87.3157269955,1317879131.51
160,268.872596025,1317879220.21
161,124.129625082,1317879493.29
162,232.98743391,1317879618.07
163,107.480069876,1317879859.9
164,212.882488966,1317879969.81
165,208.264359951,1317880182.74
166,243.374864101,1317880391.04
167,23.6634008884,1317880634.47
168,91.9665930271,1317880658.16
169,121.520776033,1317880750.93
170,161.219309092,1317880873.79
171,266.613297939,1317881040.4
172,191.236076117,1317881307.05
173,46.4578411579,1317881498.31
174,152.37561202,1317881545.8
175,28.1580989361,1317881698.2
176,74.5299949646,1317881726.43
177,218.209516048,1317881801.65
178,270.971216202,1317882022.65
179,174.396912098,1317882294.89
180,105.47649312,1317882469.33
181,24.9696290493,1317882576.92
182,209.887799978,1317882604.03
183,280.816695929,1317882814.09
184,305.771179914,1317883104.32
185,40.6755900383,1317883410.16
186,26.0422780514,1317883451.18
187,143.702487946,1317883477.75
188,134.355198145,1317883621.55
189,276.734106064,1317883760.19
190,74.0852940083,1317884037.04
191,93.110006094,1317884111.17
192,75.7452840805,1317884204.31
193,107.321937084,1317884286.07
194,214.861566067,1317884393.45
195,102.109807968,1317884608.39
196,74.7982399464,1317884711.4
197,119.225088835,1317884786.25
198,161.077395916,1317884905.54
199,147.047347069,1317885066.92
EndTest
