NewTest,Mattest,bachelor2-VirtualBox
0,16.3215329647,1321367345.5
1,23.2468659878,1321367371.25
2,20.6474809647,1321367397.88
3,15.8559629917,1321367423.77
4,21.6256639957,1321367447.83
5,23.808221817,1321367473.55
6,23.4554560184,1321367497.65
7,17.3170068264,1321367521.67
8,23.311923027,1321367545.85
9,24.0718579292,1321367570.16
10,23.2724690437,1321367594.23
11,23.9206368923,1321367618.62
12,15.8528149128,1321367642.55
13,19.2390110493,1321367666.28
14,19.5732882023,1321367690.44
15,23.3239109516,1321367714.75
16,25.5827789307,1321367739.02
17,24.2460038662,1321367764.61
18,23.3338630199,1321367788.87
19,20.918489933,1321367812.92
EndTest
NewTest,I-O,bachelor2-VirtualBox
0,13.4941980839,1321367842.63
1,15.935505867,1321367856.13
2,14.0043799877,1321367872.08
3,15.0469329357,1321367886.17
4,13.1863160133,1321367901.5
5,13.5471599102,1321367915.51
6,14.4556338787,1321367931.22
7,9.929210186,1321367952.2
8,15.5462539196,1321367962.14
9,7.96214914322,1321367977.69
10,11.1552739143,1321367992.35
11,6.42153406143,1321368008.07
12,13.2940969467,1321368021.28
13,8.85290908813,1321368034.89
14,11.8664541245,1321368051.61
15,5.56673192978,1321368067.8
16,3.79622507095,1321368082.1
17,10.9308748245,1321368095.74
18,8.62950897217,1321368108.17
19,13.0606369972,1321368120.24
EndTest
NewTest,SeekAndWrite,bachelor2-VirtualBox
0,1.32576489449,1321368140.41
1,1.20441508293,1321368141.8
2,0.148905992508,1321368143.09
3,0.184938907623,1321368143.54
4,0.0994181632996,1321368143.94
5,0.267292976379,1321368144.11
6,0.144462108612,1321368144.4
7,0.446985960007,1321368144.59
8,0.196563959122,1321368145.11
9,0.150469064713,1321368145.43
10,0.250813961029,1321368145.74
11,0.21281003952,1321368146.06
12,0.143684864044,1321368146.53
13,0.0922980308533,1321368146.8
14,0.202086210251,1321368146.99
15,0.144203901291,1321368147.25
16,0.0769040584564,1321368147.56
17,0.0770428180695,1321368147.77
18,0.262717962265,1321368147.89
19,0.374027967453,1321368148.21
EndTest
NewTest,SeekIndex,bachelor2-VirtualBox
0,0.165278196335,1321368152.67
1,0.0829939842224,1321368152.92
2,0.171189069748,1321368153.07
3,0.146203994751,1321368153.3
4,0.102197170258,1321368153.54
5,0.0523729324341,1321368153.7
6,0.136226892471,1321368153.95
7,0.0981149673462,1321368154.11
8,0.0501730442047,1321368154.3
9,0.205313205719,1321368154.36
10,0.0827071666718,1321368154.62
11,0.0747261047363,1321368154.71
12,0.144845962524,1321368154.91
13,0.160316944122,1321368155.12
14,0.103160858154,1321368155.36
15,0.0634260177612,1321368155.48
16,0.0238409042358,1321368155.68
17,0.112580060959,1321368155.72
18,0.240571975708,1321368155.87
19,0.0757830142975,1321368156.12
EndTest
NewTest,TCP,bachelor2-VirtualBox
0,27.532487154,1321368160.33
1,33.5970818996,1321368187.86
2,6.04656195641,1321368221.46
3,3.09444284439,1321368227.51
4,21.4021029472,1321368230.6
5,6.05654716492,1321368252.0
6,21.3476929665,1321368258.06
7,9.30683612823,1321368279.41
8,18.229156971,1321368288.72
9,9.12902808189,1321368306.94
10,3.11339592934,1321368316.07
11,12.7222921848,1321368319.19
12,3.22881388664,1321368331.91
13,2.92134308815,1321368335.14
14,6.4955060482,1321368338.06
15,3.07494878769,1321368344.56
16,3.06658983231,1321368347.63
17,6.09957003593,1321368350.7
18,3.06733298302,1321368356.8
19,3.20942616463,1321368359.87
EndTest
