NewTest,I-O,bachelor3-VirtualBox
0,14.224353075,1321312228.68
1,9.48828911781,1321312247.48
2,10.967443943,1321312261.82
3,18.6142940521,1321312274.97
4,11.9002859592,1321312293.83
5,13.4541728497,1321312307.85
6,12.3424551487,1321312326.87
7,13.1498689651,1321312340.84
8,12.6110620499,1321312354.68
9,14.5229911804,1321312368.0
10,10.1186649799,1321312391.01
11,15.7507059574,1321312407.32
12,21.5751202106,1321312423.11
13,16.9583070278,1321312452.89
14,15.1936819553,1321312469.92
15,8.84259986877,1321312485.11
16,3.64283204079,1321312499.87
17,13.2212028503,1321312513.82
18,5.21755599976,1321312530.7
19,14.2015500069,1321312545.48
20,14.147329092,1321312560.96
21,9.4140651226,1321312575.98
22,11.9344990253,1321312591.01
23,11.8686330318,1321312607.03
24,24.1414699554,1321312620.68
25,13.0986278057,1321312644.83
26,15.8894050121,1321312657.94
27,15.9132540226,1321312677.84
28,14.0507500172,1321312693.76
29,22.9863519669,1321312708.31
EndTest
