NewTest,SeekAndWrite,bachelor1-VirtualBox
0,234.750671148,1317854460.92
1,192.964060068,1317854702.12
2,224.718044043,1317854899.94
3,61.0758171082,1317855124.8
4,91.3937120438,1317855185.99
5,117.359335184,1317855278.18
6,201.900618076,1317855395.73
7,60.1717600822,1317855597.72
8,134.104381084,1317855658.01
9,224.098005056,1317855801.48
10,88.9255580902,1317856028.19
11,270.920931101,1317856117.26
12,292.57028389,1317856388.3
13,20.9013059139,1317856681.0
14,127.531970024,1317856702.43
15,301.522844076,1317856834.15
16,97.5340948105,1317857136.06
17,43.0026879311,1317857236.04
18,208.581035137,1317857283.32
19,122.195636988,1317857494.55
20,284.877804041,1317857619.1
21,64.2680160999,1317857904.09
22,23.5014688969,1317857968.48
23,201.840613842,1317857992.31
24,39.486467123,1317858195.36
25,278.749419928,1317858237.01
26,159.485967159,1317858515.84
27,261.252326965,1317858675.45
28,294.338395119,1317858940.07
29,157.317831993,1317859236.55
30,6.50840687752,1317859394.66
31,92.7577970028,1317859401.74
32,205.976872921,1317859495.61
33,41.7026059628,1317859701.6
34,61.2278268337,1317859748.66
35,20.6692919731,1317859811.06
36,232.774548054,1317859832.6
37,304.975059986,1317860065.4
38,248.823551178,1317860370.4
39,204.948808193,1317860623.3
40,250.531656981,1317860828.28
41,270.724920034,1317861079.71
42,64.4920299053,1317861350.47
43,172.878803968,1317861415.1
44,188.199761868,1317861592.89
45,15.0209388733,1317861781.13
46,187.487717152,1317861796.71
47,187.075690985,1317861986.25
48,263.812487125,1317862173.84
49,129.87211585,1317862437.73
50,128.108006954,1317862568.46
51,27.8897428513,1317862697.34
52,146.493155956,1317862725.27
53,243.867241144,1317862872.61
54,12.3767740726,1317863117.26
55,65.1880738735,1317863129.77
56,17.4170880318,1317863195.16
57,74.9846858978,1317863213.87
58,168.914556026,1317863288.89
59,86.9934370518,1317863460.38
60,175.594974041,1317863551.56
61,279.753484011,1317863732.16
62,114.555159092,1317864013.17
63,155.741733074,1317864128.8
64,105.974622965,1317864285.53
65,98.6141629219,1317864391.54
66,313.89161706,1317864492.06
67,162.77817297,1317864805.97
68,110.12688303,1317864970.01
69,81.5810990334,1317865083.03
70,141.564846992,1317865167.49
71,183.995498896,1317865309.48
72,131.932245016,1317865498.31
73,213.173321962,1317865630.27
74,45.374835968,1317865844.77
75,172.298768044,1317865890.88
76,166.602412224,1317866064.0
77,254.811924934,1317866231.58
78,177.955121994,1317866487.08
79,31.4739668369,1317866665.99
80,60.5837860107,1317866698.24
81,170.038625956,1317866760.26
82,165.130320072,1317866933.49
83,152.265516043,1317867098.83
84,82.8251771927,1317867253.15
85,43.1506969929,1317867336.34
86,289.254076958,1317867379.51
87,221.613849878,1317867668.79
88,232.198511124,1317867890.43
89,131.224200964,1317868124.8
90,58.6636660099,1317868258.33
91,162.510155916,1317868317.32
92,175.510969162,1317868482.63
93,230.830425978,1317868659.4
94,280.821549892,1317868892.06
95,42.8106749058,1317869173.26
96,85.4813418388,1317869216.1
97,239.290955067,1317869305.66
98,188.355771065,1317869550.79
99,286.15388298,1317869739.25
100,148.405273914,1317870029.34
101,105.95062089,1317870177.79
102,147.445214987,1317870290.68
103,113.611099958,1317870440.22
104,49.8551158905,1317870554.37
105,267.584722996,1317870604.28
106,87.545470953,1317870872.46
107,20.5012819767,1317870961.05
108,255.615974903,1317870983.0
109,116.839301825,1317871242.08
110,71.2964560986,1317871366.04
111,177.783110142,1317871437.37
112,289.674103975,1317871616.02
113,21.249327898,1317871908.7
114,78.4929058552,1317871929.99
115,251.399711847,1317872009.08
116,179.01118803,1317872260.85
117,107.838739872,1317872440.75
118,55.2674541473,1317872550.18
119,245.13932085,1317872607.58
120,286.829926014,1317872853.22
121,34.5061559677,1317873144.85
122,110.026875973,1317873180.66
123,210.261140108,1317873292.3
124,217.701604843,1317873502.59
125,3.95624780655,1317873722.05
126,258.24413991,1317873727.01
127,167.210450172,1317873988.03
128,183.227451086,1317874158.19
129,117.471341848,1317874341.51
130,184.731544971,1317874459.81
131,79.3329582214,1317874645.27
132,46.5029060841,1317874725.12
133,80.0730040073,1317874773.07
134,255.099942923,1317874853.88
135,103.142446041,1317875109.05
136,42.0426280499,1317875213.07
137,42.3986501694,1317875256.49
138,55.2394530773,1317875299.43
139,213.093317986,1317875355.16
140,50.3231451511,1317875570.44
141,258.168135166,1317875620.81
142,201.712606192,1317875880.0
143,111.062941074,1317876083.0
144,200.260514975,1317876194.29
145,176.899055958,1317876394.59
146,289.118069172,1317876571.57
147,270.780921936,1317876860.75
148,33.7421090603,1317877136.17
149,118.531408072,1317877171.65
150,296.614537001,1317877293.66
151,154.901680946,1317877591.81
152,147.909243822,1317877749.82
153,296.286517143,1317877898.9
154,82.8411769867,1317878198.62
155,96.9860608578,1317878281.51
156,185.12756896,1317878378.55
157,290.502155781,1317878565.63
158,184.4195261,1317878857.57
159,88.3735229969,1317879042.02
160,268.428775072,1317879130.41
161,122.487654924,1317879402.17
162,241.023062944,1317879526.48
163,108.982810974,1317879767.57
164,210.005123854,1317879877.11
165,199.076442003,1317880089.28
166,237.31083107,1317880296.78
167,23.1254448891,1317880539.29
168,90.0416281223,1317880562.88
169,116.371273041,1317880655.29
170,165.874366999,1317880777.67
171,261.932369947,1317880943.62
172,186.679666996,1317881209.31
173,47.3429589272,1317881399.94
174,147.509218931,1317881447.33
175,25.2015750408,1317881599.25
176,73.2045750618,1317881627.35
177,220.145758867,1317881702.31
178,271.292954922,1317881922.51
179,169.654602051,1317882193.85
180,107.078691959,1317882367.62
181,24.4495279789,1317882474.87
182,208.113007069,1317882501.9
183,283.87374115,1317882711.07
184,298.378646851,1317883000.21
185,39.4824669361,1317883304.89
186,26.4296522141,1317883345.8
187,137.300580978,1317883372.31
188,136.436527014,1317883515.6
189,275.057189941,1317883653.7
190,70.172385931,1317883929.41
191,89.5855989456,1317884003.27
192,81.4050879478,1317884095.95
193,104.970560074,1317884177.46
194,210.029125929,1317884284.43
195,97.710105896,1317884498.7
196,70.360396862,1317884601.25
197,116.483280182,1317884675.82
198,158.193886995,1317884794.64
199,139.800736904,1317884955.32
EndTest
