NewTest,Mattest,bachelor2-VirtualBox
0,18.4088947773,1321362395.6
1,24.7140450478,1321362420.8
2,20.6292369366,1321362445.53
3,22.9705600739,1321362471.32
4,23.4809978008,1321362496.19
5,17.466889143,1321362520.29
6,23.2064919472,1321362544.72
7,17.7654931545,1321362568.72
8,24.5213549137,1321362593.48
9,16.5424039364,1321362618.01
10,22.1018159389,1321362641.92
11,20.1939749718,1321362667.11
12,23.7533140182,1321362692.18
13,23.6623530388,1321362715.94
14,22.7636590004,1321362739.76
15,25.0901868343,1321362764.45
16,22.9514498711,1321362789.55
17,15.8678200245,1321362814.67
18,24.2968251705,1321362838.65
19,23.8084979057,1321362862.96
EndTest
NewTest,I-O,bachelor2-VirtualBox
0,17.9431681633,1321362890.82
1,13.9665009975,1321362908.98
2,7.60047101974,1321362923.83
3,12.6431629658,1321362933.07
4,12.3379051685,1321362945.78
5,17.7520120144,1321362958.18
6,9.66598296165,1321362976.02
7,13.1867389679,1321362985.78
8,12.6290829182,1321363004.48
9,18.2657551765,1321363020.58
10,11.4043080807,1321363039.31
11,12.5194089413,1321363054.3
12,9.57475304604,1321363068.6
13,14.5505750179,1321363080.5
14,9.65749287605,1321363103.8
15,5.30304908752,1321363116.27
16,3.04520797729,1321363127.86
17,16.2417879105,1321363139.32
18,8.77940702438,1321363155.57
19,11.6452641487,1321363166.83
EndTest
NewTest,SeekAndWrite,bachelor2-VirtualBox
