NewTest,I-O,bachelor2-VirtualBox
0,17.9201769829,1321312228.69
1,14.3371219635,1321312247.48
2,12.9765708447,1321312261.83
3,14.0287690163,1321312274.98
4,11.8781969547,1321312293.76
5,15.2186949253,1321312307.85
6,10.6229748726,1321312326.88
7,12.6513710022,1321312340.85
8,11.2125101089,1321312354.68
9,21.7325620651,1321312368.01
10,12.4270188808,1321312391.01
11,10.3364770412,1321312407.32
12,18.0291500092,1321312423.11
13,7.1881210804,1321312452.89
14,5.53560304642,1321312469.87
15,14.7471649647,1321312485.12
16,13.9481348991,1321312499.87
17,13.3903400898,1321312513.83
18,11.1472129822,1321312530.71
19,5.04766917229,1321312545.49
20,4.25050783157,1321312560.96
21,2.21444010735,1321312575.83
22,13.8813052177,1321312591.02
23,9.63258910179,1321312607.03
24,23.3809859753,1321312620.68
25,12.9381940365,1321312644.84
26,19.8889958858,1321312657.95
27,6.89562892914,1321312677.84
28,14.5339472294,1321312693.76
29,12.0211000443,1321312708.36
EndTest
