NewTest,SeekAndWrite,bachelor4-VirtualBox
0,240.226179838,1317854463.73
1,192.630318165,1317854705.78
2,223.540614128,1317854904.26
3,56.9783391953,1317855129.93
4,92.5166039467,1317855191.36
5,113.643056154,1317855283.93
6,197.814589977,1317855401.89
7,59.2640008926,1317855604.48
8,142.15498805,1317855664.94
9,227.273921967,1317855809.02
10,84.4565470219,1317856036.51
11,267.181138992,1317856126.0
12,282.652112007,1317856397.85
13,17.9926819801,1317856691.55
14,132.003172874,1317856713.12
15,300.281701088,1317856845.2
16,94.6606678963,1317857148.1
17,43.7421870232,1317857248.41
18,208.901268959,1317857295.83
19,123.812477827,1317857507.92
20,282.361662865,1317857632.93
21,58.8488237858,1317857918.85
22,20.7625098228,1317857983.44
23,199.229814053,1317858007.37
24,41.7539570332,1317858211.26
25,275.188955069,1317858253.1
26,157.20909214,1317858532.8
27,263.244265079,1317858692.95
28,293.460674047,1317858958.48
29,156.246287107,1317859256.01
30,6.61974906921,1317859414.76
31,90.7664999962,1317859421.86
32,198.83388114,1317859516.1
33,45.4356188774,1317859722.93
34,60.2412929535,1317859770.15
35,19.8613080978,1317859832.71
36,231.035676956,1317859854.31
37,301.927299976,1317860087.89
38,247.226274967,1317860393.98
39,201.136224031,1317860647.91
40,252.330071926,1317860853.65
41,271.088232994,1317861106.0
42,59.6928949356,1317861377.68
43,178.148186922,1317861442.5
44,180.779364109,1317861620.88
45,14.0400140285,1317861809.67
46,188.479294062,1317861825.28
47,180.116782904,1317862015.49
48,262.42829299,1317862203.65
49,125.252819061,1317862468.47
50,127.150727034,1317862599.64
51,27.3818018436,1317862729.0
52,144.872023821,1317862756.99
53,245.374053001,1317862904.78
54,12.5347459316,1317863150.23
55,63.9187619686,1317863162.79
56,18.3349997997,1317863228.48
57,69.604842186,1317863247.26
58,171.564326048,1317863322.53
59,91.3869719505,1317863494.61
60,181.081531048,1317863586.04
61,280.748585939,1317863767.16
62,115.016642094,1317864049.07
63,156.545995951,1317864165.1
64,104.771342039,1317864322.22
65,100.941666126,1317864428.6
66,313.870683908,1317864529.57
67,164.5116961,1317864844.68
68,107.970069885,1317865009.29
69,84.393294096,1317865122.69
70,139.599442005,1317865207.43
71,189.353994846,1317865349.96
72,128.69867301,1317865539.35
73,215.325431108,1317865671.77
74,46.2253248692,1317865887.12
75,173.682132006,1317865933.37
76,166.319189072,1317866107.11
77,244.332898855,1317866275.23
78,179.514477015,1317866531.66
79,32.0685639381,1317866711.22
80,62.1526238918,1317866743.56
81,172.129034042,1317866805.76
