NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,45.0255920887,1314208780.29
1,33.1727228165,1314208826.69
2,19.6380450726,1314208859.91
3,14.1363949776,1314208892.83
4,23.5865280628,1314208914.76
5,20.5347230434,1314208938.45
6,19.8401961327,1314208959.04
7,41.7572538853,1314208978.9
8,19.8410959244,1314209021.79
9,28.4537498951,1314209044.73
10,21.6501879692,1314209074.06
11,23.5189521313,1314209095.75
12,16.399105072,1314209119.31
13,11.2608528137,1314209135.93
14,5.64794397354,1314209153.84
15,4.31707382202,1314209179.22
16,4.92079305649,1314209192.77
17,5.86228299141,1314209212.73
18,4.64503288269,1314209235.07
19,3.9988181591,1314209248.61
20,12.1405780315,1314209266.32
21,10.2613899708,1314209278.7
22,11.1126499176,1314209291.41
23,5.63326001167,1314209305.94
24,12.9059181213,1314209320.32
25,11.0384249687,1314209334.26
26,5.65975689888,1314209350.98
27,10.5402619839,1314209368.63
28,6.1005821228,1314209385.1
29,18.8855509758,1314209397.28
30,11.8171269894,1314209417.14
31,12.2599480152,1314209430.24
32,11.9583411217,1314209449.36
33,13.5357818604,1314209470.63
34,13.1591179371,1314209484.74
35,20.9614348412,1314209504.01
36,22.3223919868,1314209525.67
37,22.7762889862,1314209548.02
38,26.318157196,1314209571.92
39,17.7023730278,1314209598.3
40,11.4902479649,1314209618.55
41,18.4254441261,1314209639.66
42,17.6715509892,1314209662.5
43,26.334528923,1314209680.23
44,20.1825969219,1314209706.59
45,13.551970005,1314209726.82
46,10.2961170673,1314209745.46
47,25.087954998,1314209761.88
48,18.6560370922,1314209790.31
49,24.3048629761,1314209809.01
50,16.6532380581,1314209837.6
51,17.743899107,1314209857.1
52,21.4955339432,1314209885.06
53,22.1191489697,1314209908.74
54,19.2800569534,1314209930.94
55,13.8333640099,1314209950.24
56,24.9194190502,1314209964.12
57,22.9456591606,1314209989.07
58,12.8822519779,1314210012.27
59,8.18960189819,1314210030.03
60,20.8789570332,1314210047.75
61,13.9884929657,1314210076.88
62,17.6616559029,1314210096.32
63,29.4950089455,1314210114.01
64,13.2433259487,1314210143.59
65,10.3668928146,1314210157.17
66,12.2535510063,1314210172.3
67,11.7206249237,1314210186.41
68,7.61266589165,1314210198.19
69,12.8569719791,1314210211.34
70,13.6951270103,1314210230.93
71,15.4478638172,1314210244.93
72,13.0841360092,1314210264.13
73,13.4017400742,1314210277.26
74,20.0401010513,1314210293.44
75,17.1234760284,1314210313.52
76,5.40410900116,1314210330.7
77,23.1641490459,1314210344.64
78,14.4894461632,1314210379.02
79,32.6836459637,1314210394.76
80,22.1756620407,1314210433.4
81,12.8118629456,1314210462.07
82,14.7671740055,1314210483.47
83,10.6759111881,1314210499.88
84,4.85812997818,1314210517.59
85,11.1599829197,1314210531.44
86,3.20891284943,1314210548.49
87,5.17095899582,1314210570.85
88,5.11188197136,1314210587.43
89,3.6455988884,1314210603.6
90,3.92963600159,1314210622.34
91,3.73050403595,1314210642.69
92,15.0967509747,1314210660.46
93,12.0095789433,1314210677.4
94,5.79222822189,1314210695.62
95,3.86559700966,1314210709.66
96,4.91783499718,1314210730.59
97,3.16242814064,1314210744.23
98,4.3781580925,1314210759.54
99,3.8251490593,1314210776.11
100,4.33058094978,1314210801.86
101,4.71341109276,1314210821.2
102,4.72391796112,1314210835.82
103,12.915512085,1314210859.26
104,4.28652501106,1314210877.17
105,5.34817910194,1314210892.23
106,3.65773701668,1314210907.76
107,3.18534302711,1314210926.12
108,3.21884202957,1314210939.8
109,5.63086891174,1314210957.95
110,4.40988492966,1314210977.48
111,4.81910514832,1314210994.0
112,5.35559391975,1314211013.76
113,9.49447393417,1314211028.68
114,4.85442209244,1314211048.67
115,4.24916505814,1314211063.12
116,6.02959799767,1314211076.43
117,7.39630913734,1314211092.83
118,4.75557303429,1314211108.28
119,5.5700109005,1314211121.21
120,31.1848618984,1314211136.86
121,18.7651059628,1314211168.09
122,13.3710091114,1314211186.99
123,4.05516791344,1314211207.08
124,6.25463080406,1314211227.92
125,16.4385428429,1314211240.57
126,19.6000239849,1314211257.24
127,23.2578210831,1314211276.88
128,22.6476230621,1314211300.17
129,18.0311620235,1314211324.62
130,22.4911019802,1314211343.59
131,16.2038500309,1314211366.18
132,19.8727560043,1314211382.39
133,10.4782979488,1314211402.29
134,16.4026639462,1314211417.65
135,15.7565209866,1314211434.66
136,18.7713668346,1314211451.05
137,16.6700429916,1314211469.93
138,16.9479129314,1314211486.63
139,13.8387520313,1314211503.66
140,18.165776968,1314211522.02
141,18.3117771149,1314211540.19
142,14.1970489025,1314211560.1
143,8.1989979744,1314211577.25
144,24.9587180614,1314211588.72
145,20.8830389977,1314211613.8
146,13.8791921139,1314211634.73
147,20.0412170887,1314211648.62
148,22.2920970917,1314211669.12
149,18.7774751186,1314211691.49
150,18.3671789169,1314211710.3
151,6.78007602692,1314211728.73
152,5.06188583374,1314211748.16
153,10.2321219444,1314211762.24
