NewTest,Mattest,bachelor3-VirtualBox
0,25.7473888397,1321367345.53
1,26.6263139248,1321367371.28
2,25.8706200123,1321367397.93
3,23.511469841,1321367423.82
4,25.7200069427,1321367447.87
5,24.0821268559,1321367473.6
6,24.0192010403,1321367497.69
7,23.3820769787,1321367521.72
8,24.2999210358,1321367545.89
9,23.3707990646,1321367570.19
10,18.8577930927,1321367594.27
11,23.9169149399,1321367618.67
12,23.7074568272,1321367642.61
13,24.1566641331,1321367666.32
14,24.2933790684,1321367690.49
15,24.2478721142,1321367714.81
16,21.7946579456,1321367739.07
17,16.1706058979,1321367764.64
18,24.0583300591,1321367788.9
19,21.7399601936,1321367812.97
EndTest
NewTest,I-O,bachelor3-VirtualBox
0,12.1537928581,1321367842.66
1,8.8284060955,1321367856.17
2,13.9968631268,1321367872.11
3,15.1232190132,1321367886.21
4,14.0037050247,1321367901.54
5,15.6912369728,1321367915.56
6,20.9487760067,1321367931.29
7,8.35230493546,1321367952.37
8,10.4336218834,1321367962.18
9,12.3846859932,1321367977.73
10,12.1004600525,1321367992.38
11,13.2109839916,1321368008.11
12,5.09343695641,1321368021.33
13,15.5644369125,1321368034.92
14,16.0519709587,1321368051.65
15,14.2985618114,1321368067.84
16,13.626734972,1321368082.15
17,12.411757946,1321368095.79
18,12.0679929256,1321368108.21
19,15.9796550274,1321368120.32
EndTest
NewTest,SeekAndWrite,bachelor3-VirtualBox
0,0.967949867249,1321368140.45
1,1.21583008766,1321368141.84
2,0.238430976868,1321368143.15
3,0.279597043991,1321368143.58
4,0.100406169891,1321368143.98
5,0.191468000412,1321368144.11
6,0.121031999588,1321368144.45
7,0.32818198204,1321368144.63
8,0.280297994614,1321368145.14
9,0.263813972473,1321368145.49
10,0.237465143204,1321368145.78
11,0.25674700737,1321368146.11
12,0.215773105621,1321368146.58
13,0.189650058746,1321368146.82
14,0.186410903931,1321368147.03
15,0.196634054184,1321368147.29
16,0.111945867538,1321368147.6
17,0.0917220115662,1321368147.83
18,0.233164072037,1321368147.95
19,0.314967870712,1321368148.26
EndTest
NewTest,SeekIndex,bachelor3-VirtualBox
0,0.217395067215,1321368152.71
1,0.0779728889465,1321368152.96
2,0.118201971054,1321368153.11
3,0.0794239044189,1321368153.34
4,0.151647806168,1321368153.56
5,0.0558469295502,1321368153.74
6,0.106674909592,1321368153.97
7,0.150186061859,1321368154.13
8,0.0482039451599,1321368154.33
9,0.070848941803,1321368154.4
10,0.0631630420685,1321368154.61
11,0.0528841018677,1321368154.77
12,0.105700969696,1321368154.95
13,0.144524812698,1321368155.17
14,0.0397169589996,1321368155.42
15,0.139578104019,1321368155.52
16,0.0243408679962,1321368155.71
17,0.101924180984,1321368155.77
18,0.0491759777069,1321368155.89
19,0.16317987442,1321368156.15
EndTest
NewTest,TCP,bachelor3-VirtualBox
0,6.26968002319,1321368160.39
1,9.13239097595,1321368166.66
2,3.32453799248,1321368175.8
3,3.05236911774,1321368179.12
4,6.2887301445,1321368182.17
5,9.22558689117,1321368188.46
6,9.53339004517,1321368197.69
7,15.4407300949,1321368207.22
8,12.178011179,1321368222.66
9,6.08615112305,1321368234.84
10,6.15411901474,1321368240.93
11,21.3421530724,1321368247.08
12,30.4534890652,1321368268.42
13,3.1874628067,1321368298.88
14,12.0915470123,1321368302.06
15,9.35514783859,1321368314.16
16,6.38595795631,1321368323.51
17,9.50756692886,1321368329.9
18,12.2405128479,1321368339.41
19,2.856798172,1321368351.65
EndTest
