NewTest,SeekIndex,bachelor2-VirtualBox
0,0.741391897202,1320062529.12
1,0.931406974792,1320062530.32
2,0.528633117676,1320062531.51
3,0.105520009995,1320062532.46
4,0.161240100861,1320062533.33
5,0.726570129395,1320062534.08
6,0.681627988815,1320062535.04
7,0.387503862381,1320062536.14
8,0.372786998749,1320062536.97
9,0.231277942657,1320062537.53
10,0.215040922165,1320062538.04
11,0.239811897278,1320062538.47
12,0.980766057968,1320062539.05
13,0.381819009781,1320062540.1
14,0.447462797165,1320062540.58
15,0.775959014893,1320062541.41
16,0.464871168137,1320062542.25
17,0.383769989014,1320062542.9
18,0.355902910233,1320062543.45
19,0.181494951248,1320062543.9
20,0.685573101044,1320062544.38
21,0.247009992599,1320062545.25
22,0.351402997971,1320062545.74
23,0.223687887192,1320062546.32
24,0.745929956436,1320062547.3
25,0.342493057251,1320062548.08
26,0.380200147629,1320062548.63
27,0.250445842743,1320062549.18
28,0.386056184769,1320062550.04
29,0.488674879074,1320062550.52
30,0.374553203583,1320062551.08
31,0.408034086227,1320062551.6
32,0.960344076157,1320062552.33
33,0.336959838867,1320062553.86
34,0.329550981522,1320062554.49
35,0.277883052826,1320062554.99
36,0.410540103912,1320062555.58
37,0.415632963181,1320062556.21
38,0.362805128098,1320062556.82
39,0.815237998962,1320062557.75
40,0.382148981094,1320062558.88
41,0.237164974213,1320062559.4
42,0.261833906174,1320062559.9
43,0.398429870605,1320062560.39
44,0.362840175629,1320062561.14
45,0.287966012955,1320062561.57
46,0.232550144196,1320062562.09
47,0.129654169083,1320062562.58
48,1.03439712524,1320062562.95
49,0.2965259552,1320062564.28
50,0.236289978027,1320062564.7
51,0.281489849091,1320062565.37
52,0.259457111359,1320062565.76
53,0.353077173233,1320062566.33
54,0.363383769989,1320062566.93
55,0.409924983978,1320062567.52
56,1.53521299362,1320062568.22
57,1.30222010612,1320062569.78
58,0.527819871902,1320062571.18
59,0.722299098969,1320062572.42
60,0.476402044296,1320062573.39
61,0.48615694046,1320062573.96
62,0.164879083633,1320062574.61
63,0.743725061417,1320062574.95
64,0.50727891922,1320062575.73
65,0.321473836899,1320062576.46
66,0.406080961227,1320062577.03
67,0.345798969269,1320062577.58
68,0.26525592804,1320062578.28
69,0.429524183273,1320062578.74
70,0.313252925873,1320062579.54
71,0.720623016357,1320062580.27
72,0.802067995071,1320062581.01
73,0.517791032791,1320062581.97
74,0.990722179413,1320062582.74
75,0.419303178787,1320062583.77
76,0.369876861572,1320062584.24
77,0.278651952744,1320062585.08
78,0.474909067154,1320062585.98
79,0.254817008972,1320062586.63
80,0.354754924774,1320062587.18
81,0.260797023773,1320062587.73
82,0.123162984848,1320062588.55
83,0.420861959457,1320062588.85
84,0.292166948318,1320062589.59
85,0.155069828033,1320062589.97
86,0.619117975235,1320062590.39
87,0.373695850372,1320062591.7
88,0.381727933884,1320062592.31
89,0.571331977844,1320062592.92
90,0.310281038284,1320062593.72
91,0.313276052475,1320062594.14
92,0.302313089371,1320062594.55
93,0.217982053757,1320062595.11
94,0.868012905121,1320062595.53
95,0.420981884003,1320062597.05
96,0.400487184525,1320062597.79
97,0.393399000168,1320062598.67
98,0.184024095535,1320062599.11
99,0.270235061646,1320062599.55
100,0.333997011185,1320062600.18
101,0.995172023773,1320062600.78
102,0.360556125641,1320062601.82
103,0.418786048889,1320062602.42
104,0.222447872162,1320062602.88
105,0.526443004608,1320062603.35
106,0.549346923828,1320062604.21
107,0.203879117966,1320062604.78
108,0.215923070908,1320062605.46
109,0.965786933899,1320062606.15
110,0.401030063629,1320062607.14
111,0.430547952652,1320062607.78
112,0.55019402504,1320062608.3
113,0.31229186058,1320062609.17
114,0.369358062744,1320062609.63
115,0.245372056961,1320062610.09
116,0.360109090805,1320062610.66
117,1.0115480423,1320062611.25
118,0.455380916595,1320062612.3
119,0.255498886108,1320062612.99
120,0.385489940643,1320062613.89
121,0.318433046341,1320062614.36
122,0.264789819717,1320062614.93
123,0.306091070175,1320062615.56
124,0.971451997757,1320062616.18
125,0.403179883957,1320062617.34
126,0.384263038635,1320062618.02
127,0.457525968552,1320062618.89
128,0.253796815872,1320062619.53
129,0.196968078613,1320062620.08
130,0.309993982315,1320062620.75
131,0.737441062927,1320062621.23
132,0.166282176971,1320062622.06
133,0.395843982697,1320062622.79
134,0.318763971329,1320062623.38
135,0.457330942154,1320062624.33
136,0.454317808151,1320062624.9
137,0.26584815979,1320062625.44
138,0.300933837891,1320062625.85
139,0.666576147079,1320062626.52
140,0.453819990158,1320062627.2
141,0.33633685112,1320062628.08
142,0.639898061752,1320062628.79
143,0.344779014587,1320062629.65
144,0.286812067032,1320062630.25
145,0.291064023972,1320062630.74
146,0.242153167725,1320062631.28
147,0.344950914383,1320062632.23
148,0.287348985672,1320062633.13
149,0.222843885422,1320062633.62
150,0.738170862198,1320062634.37
151,0.599864006042,1320062635.17
152,0.74454498291,1320062636.05
153,0.347492933273,1320062636.86
154,0.3920109272,1320062637.41
155,0.182624101639,1320062637.97
156,0.194065093994,1320062638.35
157,0.392045021057,1320062638.77
158,0.323526144028,1320062639.58
159,0.309696912766,1320062639.98
160,0.315260887146,1320062640.41
161,0.459192037582,1320062641.08
162,0.815989971161,1320062641.94
163,0.363445997238,1320062642.87
164,0.252506971359,1320062643.38
165,0.237001180649,1320062643.69
166,0.553928852081,1320062644.45
167,0.557260990143,1320062645.05
168,0.318161010742,1320062645.71
