NewTest,TCP,bachelor3-VirtualBox
0,40.1558909416,1317339781.57
1,33.9342610836,1317339821.72
2,21.257570982,1317339855.66
3,18.5161590576,1317339876.92
4,15.3512208462,1317339895.43
5,9.43898391724,1317339910.78
6,27.6538989544,1317339920.22
7,15.4869217873,1317339947.88
8,3.18001317978,1317339963.36
9,6.4286699295,1317339966.54
10,3.44168591499,1317339972.97
11,18.5245039463,1317339976.41
12,18.6691100597,1317339994.94
13,15.4524788857,1317340013.61
14,12.4472110271,1317340029.06
15,9.27147078514,1317340041.51
16,70.1833109856,1317340050.78
17,9.35630989075,1317340120.96
18,12.4234440327,1317340130.32
19,24.6025109291,1317340142.74
20,9.36212086678,1317340167.35
21,3.10363602638,1317340176.71
22,9.30265498161,1317340179.81
23,3.35223317146,1317340189.12
24,9.5725979805,1317340192.47
25,6.21014904976,1317340202.04
26,6.17076015472,1317340208.25
27,3.07696485519,1317340214.42
28,18.464001894,1317340217.5
29,6.55248999596,1317340235.96
30,24.929625988,1317340242.52
31,21.7212088108,1317340267.45
32,9.52432799339,1317340289.17
33,15.6285750866,1317340298.69
34,6.29444813728,1317340314.32
35,15.4100999832,1317340320.61
36,79.2718000412,1317340336.03
37,45.954324007,1317340415.3
38,42.9505600929,1317340461.25
39,9.32572698593,1317340504.2
40,6.03159809113,1317340513.53
41,18.2204709053,1317340519.56
42,3.16064095497,1317340537.78
43,6.32837319374,1317340540.94
44,3.22468209267,1317340547.27
45,12.4802811146,1317340550.5
46,12.4891088009,1317340562.98
47,3.11318492889,1317340575.47
48,9.44316005707,1317340578.58
49,12.4075520039,1317340588.02
50,12.4133970737,1317340600.43
51,9.40769791603,1317340612.84
52,6.15149283409,1317340622.25
53,18.5400400162,1317340628.4
54,15.5099730492,1317340646.94
55,21.403854847,1317340662.45
56,12.1380529404,1317340683.86
57,15.697165966,1317340696.0
58,27.6938281059,1317340711.69
59,6.49272298813,1317340739.39
60,30.8254899979,1317340745.88
61,3.10192608833,1317340776.71
62,21.6829531193,1317340779.81
63,9.39588212967,1317340801.49
64,6.3551030159,1317340810.89
65,21.4355919361,1317340817.24
66,27.5987861156,1317340838.68
67,36.7521941662,1317340866.28
68,15.5366308689,1317340903.03
69,39.8089318275,1317340918.57
70,24.7260210514,1317340958.38
71,45.7743151188,1317340983.1
72,30.5161619186,1317341028.88
73,3.21654295921,1317341059.39
74,9.62038493156,1317341062.61
75,9.28562617302,1317341072.23
76,3.20994305611,1317341081.52
77,21.288618803,1317341084.73
78,12.1842770576,1317341106.02
79,3.385160923,1317341118.2
80,6.26350903511,1317341121.59
81,15.2829611301,1317341127.85
82,9.23843002319,1317341143.13
83,15.5313768387,1317341152.37
84,6.37835502625,1317341167.9
85,18.613918066,1317341174.28
86,6.43726801872,1317341192.9
87,12.4545989037,1317341199.33
88,2.98593783379,1317341211.79
89,58.00466609,1317341214.77
90,12.3200900555,1317341272.78
91,12.1462440491,1317341285.1
92,12.2675290108,1317341297.25
93,3.42728185654,1317341309.51
94,24.6837720871,1317341312.94
95,12.470678091,1317341337.63
96,24.4503469467,1317341350.1
97,12.2427999973,1317341374.55
98,21.3985939026,1317341386.79
99,18.522094965,1317341408.19
100,3.18490695953,1317341426.71
101,15.3098540306,1317341429.9
102,6.40438199043,1317341445.21
103,33.6627650261,1317341451.61
104,24.6091089249,1317341485.27
105,3.42058396339,1317341509.88
106,3.20420694351,1317341513.3
107,21.5530889034,1317341516.51
108,3.37994718552,1317341538.06
109,21.3966159821,1317341541.44
110,6.18010401726,1317341562.84
111,21.5544688702,1317341569.02
112,6.26598405838,1317341590.57
113,21.608923912,1317341596.84
114,9.58087015152,1317341618.45
115,12.5087339878,1317341628.03
116,46.1405801773,1317341640.54
117,30.6508159637,1317341686.68
118,12.605481863,1317341717.33
119,11.122428894,1317341729.94
120,3.15445494652,1317341741.06
121,6.41026091576,1317341744.21
122,3.24123287201,1317341750.62
123,9.51408481598,1317341753.87
124,9.06420707703,1317341763.38
125,18.9950668812,1317341772.44
126,39.2670550346,1317341791.44
127,3.33186483383,1317341830.71
128,42.421432972,1317341834.04
129,27.678745985,1317341876.47
130,24.4347279072,1317341904.14
131,3.19406509399,1317341928.58
132,15.4796118736,1317341931.77
133,21.8766868114,1317341947.25
134,9.89341402054,1317341969.13
135,9.24711990356,1317341979.02
136,18.230121851,1317341988.27
137,21.6330339909,1317342006.5
138,3.38710594177,1317342028.13
139,15.2303788662,1317342031.52
140,15.3355507851,1317342046.75
141,9.41716313362,1317342062.09
142,3.23020505905,1317342071.51
143,9.44632911682,1317342074.74
144,15.3611800671,1317342084.19
145,18.7047901154,1317342099.55
146,9.43296408653,1317342118.25
147,6.59087014198,1317342127.69
148,36.7248959541,1317342134.28
149,12.542550087,1317342171.0
150,9.36951208115,1317342183.54
151,9.23964190483,1317342192.91
152,27.5280549526,1317342202.15
153,3.22970199585,1317342229.68
154,18.2066299915,1317342232.91
155,15.408053875,1317342251.12
156,24.5040509701,1317342266.53
157,19.1069340706,1317342291.03
158,46.0717279911,1317342310.14
159,15.2415239811,1317342356.21
160,21.3789181709,1317342371.45
161,18.2408769131,1317342392.83
162,15.315046072,1317342411.07
163,6.40497803688,1317342426.39
164,9.50741195679,1317342432.79
165,6.2562019825,1317342442.3
166,3.34307003021,1317342448.56
167,12.2952930927,1317342451.9
168,18.4752130508,1317342464.19
169,15.5038630962,1317342482.67
