NewTest,SeekAndWrite,bachelor3-VirtualBox
0,241.147910118,1317854462.82
1,197.00012207,1317854704.9
2,222.073302984,1317854903.4
3,59.2572529316,1317855129.11
4,89.429735899,1317855190.54
5,113.231724977,1317855283.12
6,201.271479845,1317855401.1
7,59.0050060749,1317855603.72
8,139.190320969,1317855664.19
9,221.982933044,1317855808.28
10,88.139400959,1317856035.79
11,267.457124949,1317856125.31
12,289.551810026,1317856397.21
13,21.4554848671,1317856690.95
14,123.396909952,1317856712.51
15,301.361232996,1317856844.62
16,97.2032420635,1317857147.55
17,46.0227980614,1317857247.88
18,206.54759407,1317857295.31
19,122.938913107,1317857507.41
20,276.185983896,1317857632.45
21,61.7332859039,1317857918.41
22,23.7113008499,1317857982.97
23,201.718810081,1317858006.94
24,39.2088181973,1317858210.89
25,265.836774111,1317858252.71
26,158.397050142,1317858532.43
27,264.227442026,1317858692.61
28,294.096669197,1317858958.2
29,144.444595814,1317859255.8
30,6.15455818176,1317859414.49
31,91.4517118931,1317859421.63
32,199.056235075,1317859515.88
33,47.1616430283,1317859722.73
34,62.5265209675,1317859769.97
35,21.16456604,1317859832.53
36,232.950602055,1317859854.14
37,301.930058002,1317860087.74
38,251.928549051,1317860393.88
39,202.352264166,1317860647.84
40,244.125432014,1317860853.61
41,268.17303896,1317861105.99
42,61.3907661438,1317861377.71
43,177.68896699,1317861442.53
44,184.991539955,1317861620.95
45,13.721531868,1317861809.75
46,185.727741957,1317861825.35
47,188.076750994,1317862015.64
48,260.241658211,1317862203.81
49,126.484299183,1317862468.65
50,127.793692112,1317862599.84
51,26.9583599567,1317862729.22
52,143.753427982,1317862757.21
53,240.644593954,1317862905.03
54,12.1262948513,1317863150.5
55,62.8355548382,1317863163.06
56,18.7309169769,1317863228.75
57,72.2756848335,1317863247.57
58,163.843806028,1317863322.83
59,90.1224589348,1317863494.93
60,178.282408953,1317863586.37
61,281.916267872,1317863767.52
62,110.359819889,1317864049.47
63,156.355327845,1317864165.51
64,104.740833998,1317864322.66
65,96.412045002,1317864429.05
66,302.286667824,1317864530.02
67,153.498523951,1317864845.19
68,112.820568085,1317865009.81
69,84.5836229324,1317865123.24
70,141.896005154,1317865208.0
71,188.387565136,1317865350.54
72,132.235307932,1317865539.94
73,208.401021957,1317865672.39
74,45.5652749538,1317865887.77
75,172.362997055,1317865934.03
76,168.13684392,1317866107.77
77,250.761825085,1317866275.94
78,175.41701293,1317866532.4
79,32.3108301163,1317866711.99
80,59.6667420864,1317866744.34
81,172.730364084,1317866806.53
82,154.581904173,1317866980.22
83,154.84890604,1317867146.2
84,80.7155079842,1317867301.11
85,42.7299351692,1317867384.59
86,278.079822063,1317867427.88
87,216.371118069,1317867718.41
88,233.422322035,1317867940.86
89,129.465642929,1317868176.05
90,57.9622819424,1317868310.06
91,163.73110199,1317868369.24
92,176.558582067,1317868535.15
93,232.116719007,1317868712.51
94,274.335987091,1317868945.95
95,40.0289030075,1317869228.21
96,87.5129339695,1317869271.18
97,241.7339499,1317869361.04
98,187.34570384,1317869606.89
99,288.046259165,1317869796.05
100,148.12411499,1317870087.18
101,106.270171881,1317870236.13
102,149.988004923,1317870349.55
103,114.366022825,1317870499.62
104,48.2449569702,1317870614.1
105,263.907027006,1317870664.19
106,82.7483530045,1317870933.49
107,21.8673079014,1317871022.37
108,250.655199051,1317871044.42
109,120.184889078,1317871304.41
110,70.0713219643,1317871428.97
111,175.221060038,1317871500.55
112,285.260597944,1317871679.96
113,18.5377299786,1317871973.72
114,79.076474905,1317871995.16
115,247.778903008,1317872074.55
116,175.885997057,1317872327.24
117,109.737336159,1317872508.0
118,54.8980391026,1317872617.78
119,240.086910963,1317872675.39
120,287.516079187,1317872922.01
121,31.6895329952,1317873214.56
122,111.508606911,1317873250.49
123,200.094959974,1317873362.55
124,219.916754961,1317873573.59
125,3.09875297546,1317873793.74
126,249.250761986,1317873798.71
127,166.115420103,1317874060.78
128,180.297321081,1317874231.45
129,116.847095966,1317874415.31
130,180.566859961,1317874534.08
131,78.2519130707,1317874720.27
132,48.0546150208,1317874800.38
133,72.9133369923,1317874848.48
134,252.119328022,1317874929.53
135,100.865625143,1317875185.7
136,43.0975079536,1317875290.17
137,41.0823960304,1317875333.75
138,55.7951130867,1317875376.83
139,209.656774998,1317875432.72
140,49.2663249969,1317875648.83
141,249.254229069,1317875699.47
142,199.877982855,1317875959.66
143,111.710105896,1317876163.37
144,194.179102182,1317876275.17
145,173.401457071,1317876476.17
146,283.910296917,1317876653.91
147,270.945269823,1317876944.12
148,33.7547261715,1317877220.57
149,118.081890106,1317877256.2
150,294.871149063,1317877378.74
151,158.522450209,1317877678.09
152,139.603914976,1317877836.65
153,296.326978922,1317877986.38
154,82.2738888264,1317878287.14
155,95.0771429539,1317878370.33
156,186.083202124,1317878467.78
157,291.266968966,1317878655.75
158,180.988325834,1317878948.62
159,87.9482469559,1317879133.78
160,265.065885067,1317879222.48
161,122.186030149,1317879495.61
162,241.030774117,1317879620.39
163,109.789813995,1317879862.26
164,206.707320929,1317879972.15
165,198.995984077,1317880185.14
166,237.584372044,1317880393.47
167,20.5551869869,1317880636.92
168,92.5757060051,1317880660.64
169,122.580370903,1317880753.42
170,162.730731964,1317880876.3
171,264.859410048,1317881042.92
172,186.554585934,1317881309.72
173,44.8597309589,1317881500.9
174,148.527813911,1317881548.39
175,26.2218751907,1317881700.83
176,75.1286039352,1317881729.06
177,217.296848059,1317881804.28
178,266.183461905,1317882025.35
179,172.183398008,1317882297.6
180,106.938328028,1317882472.04
181,27.0616548061,1317882579.66
182,199.383338928,1317882606.81
183,290.187651873,1317882816.86
184,297.875629902,1317883107.13
185,40.9160399437,1317883413.01
186,25.3038368225,1317883454.05
