NewTest,TCP,bachelor1-VirtualBox
0,6.77734208107,1317322524.99
1,0.688673973083,1317322531.77
2,0.603903055191,1317322532.46
3,0.672605991364,1317322533.06
4,9.74886012077,1317322533.74
5,0.658834934235,1317322543.49
6,0.621628046036,1317322544.15
7,0.611595869064,1317322544.77
8,0.629616975784,1317322545.38
9,6.87241506577,1317322546.01
10,0.658144950867,1317322552.88
11,0.648362874985,1317322553.54
12,0.683581113815,1317322554.19
13,19.012059927,1317322554.87
14,0.620614051819,1317322573.89
15,0.754939079285,1317322574.51
16,0.631860971451,1317322575.26
17,0.646787881851,1317322575.89
18,3.78078699112,1317322576.54
19,0.705554008484,1317322580.32
20,0.661957025528,1317322581.03
21,0.754464864731,1317322581.69
22,3.74393892288,1317322582.44
23,0.755450963974,1317322586.19
24,0.650135040283,1317322586.94
25,0.684235095978,1317322587.59
26,0.623319864273,1317322588.28
27,3.76745390892,1317322588.9
28,0.723291873932,1317322592.67
29,0.646826982498,1317322593.39
30,0.660544157028,1317322594.04
31,3.74784398079,1317322594.7
32,0.691301107407,1317322598.45
33,0.77161192894,1317322599.14
34,0.732289075851,1317322599.91
35,25.2820980549,1317322600.64
36,0.677434921265,1317322625.93
37,0.636327028275,1317322626.6
38,0.645093917847,1317322627.24
39,0.666342020035,1317322627.89
40,6.75564002991,1317322628.55
41,0.663469076157,1317322635.31
42,0.623491048813,1317322635.97
43,0.689277172089,1317322636.6
44,3.7703499794,1317322637.29
45,0.640434980392,1317322641.06
46,0.645678043365,1317322641.7
47,0.611051082611,1317322642.34
48,0.632905006409,1317322642.95
49,3.75947189331,1317322643.59
50,0.665670871735,1317322647.35
51,0.6438601017,1317322648.01
52,0.679281949997,1317322648.66
53,0.637843132019,1317322649.34
54,13.0729238987,1317322649.97
55,0.629091978073,1317322663.05
56,0.705925226212,1317322663.68
57,0.664493083954,1317322664.38
58,12.9385530949,1317322665.05
59,46.6740570068,1317322677.99
60,0.66345500946,1317322724.66
61,0.63094496727,1317322725.32
62,0.649703025818,1317322725.96
63,0.649952888489,1317322726.61
64,12.8336160183,1317322727.26
65,0.668648004532,1317322740.09
66,0.642858982086,1317322740.76
67,0.6201608181,1317322741.4
68,0.702173948288,1317322742.02
69,3.84762096405,1317322742.72
70,0.645779848099,1317322746.57
71,0.67761015892,1317322747.22
72,0.675720930099,1317322747.9
73,15.9399628639,1317322748.57
74,0.672899007797,1317322764.51
75,0.658867120743,1317322765.19
76,0.658496856689,1317322765.84
77,0.813778877258,1317322766.5
78,37.1100900173,1317322767.32
79,0.614547014236,1317322804.43
80,0.711545944214,1317322805.04
81,0.693871021271,1317322805.75
82,0.670264005661,1317322806.45
83,0.702681064606,1317322807.12
84,0.669195890427,1317322807.82
85,0.731127977371,1317322808.49
86,0.779977083206,1317322809.22
87,3.77495098114,1317322810.0
