NewTest,Mattest,bachelor1-VirtualBox
0,22.998249054,1321363739.9
1,19.3984699249,1321363765.96
2,23.2878749371,1321363790.32
3,24.9650030136,1321363814.98
4,17.0919289589,1321363839.95
5,15.9754080772,1321363864.12
6,21.6343989372,1321363887.93
7,16.3639321327,1321363913.68
8,23.0647730827,1321363937.67
9,19.470307827,1321363962.76
10,16.10759902,1321363987.44
11,20.3029260635,1321364011.37
12,23.8348479271,1321364035.51
13,24.0004320145,1321364059.36
14,23.9875700474,1321364083.37
15,20.4777848721,1321364107.44
16,23.4216320515,1321364132.43
17,16.1089560986,1321364156.54
18,16.1748559475,1321364180.68
19,24.0259711742,1321364204.99
EndTest
NewTest,I-O,bachelor1-VirtualBox
0,15.6559281349,1321364233.06
1,11.2961609364,1321364249.47
2,7.70262694359,1321364269.65
3,3.76528406143,1321364281.32
4,14.7662029266,1321364292.61
5,15.8001949787,1321364311.79
6,11.8489780426,1321364327.6
7,19.1823849678,1321364339.45
8,15.2410690784,1321364358.66
9,10.6403970718,1321364373.9
10,13.2152130604,1321364384.55
11,4.37516307831,1321364397.87
12,12.6614871025,1321364411.31
13,18.0804049969,1321364426.25
14,14.9568750858,1321364444.53
15,7.81691098213,1321364460.53
16,15.1406350136,1321364474.05
17,7.97631192207,1321364489.66
18,11.8376672268,1321364504.47
19,18.7521669865,1321364518.02
EndTest
NewTest,SeekAndWrite,bachelor1-VirtualBox
0,1.9474298954,1321364542.79
