NewTest,Mattest,bachelor2-VirtualBox
0,21.9683840275,1321363739.9
1,24.3606259823,1321363765.96
2,24.6428101063,1321363790.33
3,22.8426861763,1321363814.98
4,23.5221021175,1321363839.94
5,23.518682003,1321363864.12
6,25.7454829216,1321363887.93
7,23.3247818947,1321363913.69
8,25.0929939747,1321363937.66
9,24.6622750759,1321363962.77
10,23.4641349316,1321363987.45
11,23.9769768715,1321364011.37
12,15.6114900112,1321364035.51
13,23.3758239746,1321364059.35
14,24.0479719639,1321364083.37
15,25.0106320381,1321364107.42
16,16.7686030865,1321364132.44
17,23.5300140381,1321364156.53
18,24.1289041042,1321364180.68
19,17.0162930489,1321364204.99
EndTest
NewTest,I-O,bachelor2-VirtualBox
0,10.8573031425,1321364233.07
1,19.9603190422,1321364249.4
2,11.62225914,1321364269.69
3,11.2882969379,1321364281.32
4,19.1829090118,1321364292.61
5,11.2556779385,1321364311.79
6,4.98177313805,1321364327.6
7,17.0767700672,1321364339.45
8,10.988847971,1321364358.64
9,5.25416016579,1321364373.9
10,13.3103630543,1321364384.54
11,13.2715539932,1321364397.89
12,14.8260381222,1321364411.43
13,18.2673530579,1321364426.26
14,15.9862039089,1321364444.54
15,13.5125582218,1321364460.53
16,15.5950469971,1321364474.06
17,14.7971189022,1321364489.67
18,13.5401799679,1321364504.47
19,20.3245539665,1321364518.02
EndTest
NewTest,SeekAndWrite,bachelor2-VirtualBox
