NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
0,34.4123330116,34.4180021286
1,33.5448689461,67.9823830128
2,33.5675189495,101.561418056
3,33.4315640926,135.003965139
4,33.9729931355,168.98012805
5,33.5281579494,202.53306222
6,33.9712598324,236.513852119
7,33.720511198,270.243132114
8,33.6695108414,303.933284998
9,33.6613771915,337.605061054
10,33.5042359829,371.116872072
11,33.8166019917,405.315135002
12,33.6096639633,439.192793131
13,34.3314948082,474.279724121
14,34.6248548031,508.926030159
15,32.5063920021,542.080116034
16,34.7525100708,578.107830048
17,33.6390891075,611.772843122
18,33.3296380043,645.772686005
19,33.7080938816,679.63380003
20,33.7435171604,713.382074118
21,34.4177830219,747.811384201
22,33.6760830879,781.491394043
23,34.3751120567,815.872358084
24,33.7002930641,849.583786011
25,33.8888680935,883.495916128
26,33.8114769459,917.429310083
27,34.1869289875,951.637509108
28,33.9698901176,985.632499218
29,34.5317728519,1020.17318201
30,33.5463018417,1053.80280805
31,34.0788948536,1088.41952014
32,33.5772628784,1122.02059007
33,33.8852100372,1156.40105319
34,34.0414381027,1190.64795208
35,34.2095010281,1224.87741017
36,34.7121031284,1259.61006212
37,34.4861581326,1294.09926105
38,33.9573888779,1328.0812192
39,34.5093619823,1362.5940721
40,35.1368420124,1397.7401731
41,33.1783790588,1430.9317522
42,33.8895151615,1465.1824832
43,33.3096029758,1498.85871601
44,33.5032720566,1532.72560906
45,33.7316119671,1566.50914407
46,34.1424341202,1600.71157002
47,33.8911120892,1634.72138023
48,33.8975419998,1668.62267709
49,33.5609650612,1702.2867322
50,34.1913650036,1737.03749919
51,34.5857498646,1771.65172315
52,33.9854691029,1805.64883423
53,34.4117391109,1840.07305217
54,34.0791180134,1874.17365003
55,33.9818198681,1908.17626905
56,33.8649690151,1942.06804609
57,34.151061058,1976.22733021
58,34.1574959755,2010.40467715
59,34.0288350582,2044.43699002
60,34.2986938953,2078.79457808
61,34.0629091263,2112.87795019
62,34.1881239414,2147.08177018
63,33.9632298946,2181.098068
64,33.9024221897,2215.01154017
65,33.9035279751,2248.91734409
66,33.740074873,2282.70256805
67,33.9244000912,2316.64983821
68,33.9394960403,2350.60056615
69,33.8313419819,2384.44451809
70,34.1423490047,2418.60558319
71,34.0462632179,2452.71172714
72,33.5922999382,2486.30603814
73,33.676306963,2519.99560905
74,34.118803978,2554.14205122
75,33.9924240112,2588.14559507
76,33.5440001488,2621.70721221
77,33.8472859859,2655.56979513
78,33.6254310608,2689.44760418
79,33.9277729988,2723.64917803
80,33.6140568256,2757.39825201
81,33.6734569073,2791.09594512
82,33.8055160046,2824.91404104
83,33.3875660896,2858.320364
84,33.9292151928,2892.52172112
85,33.8433010578,2926.36769509
86,33.1756939888,2959.56171703
87,33.1953260899,2993.32440114
88,33.8189079762,3027.52139211
89,34.0277340412,3061.55803204
90,34.0743899345,3095.65703917
91,33.834539175,3129.49517107
92,33.4708287716,3162.9938271
93,34.0686199665,3197.09225607
94,33.8873689175,3230.98890305
95,33.876044035,3264.89513922
96,33.4767899513,3298.38934803
