NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,15.4894270897,1314193065.27
1,8.44695091248,1314193080.78
2,6.59671807289,1314193100.37
3,19.4082500935,1314193120.9
4,23.7702758312,1314193141.54
5,5.97736001015,1314193172.58
6,17.7592759132,1314193193.42
7,7.27505302429,1314193217.82
8,17.9932749271,1314193235.15
9,19.7814629078,1314193254.81
10,17.9982771873,1314193274.62
11,24.408867836,1314193292.65
12,16.0656690598,1314193317.07
13,15.2173769474,1314193343.06
14,18.3165061474,1314193367.54
15,7.87531113625,1314193391.53
16,21.6401159763,1314193420.25
17,22.0719938278,1314193441.91
18,21.4115929604,1314193464.0
19,24.907968998,1314193485.44
20,20.0987570286,1314193510.36
21,10.1456918716,1314193530.46
22,3.79976701736,1314193553.67
23,26.1140518188,1314193571.05
24,14.5718810558,1314193597.2
25,13.0716052055,1314193613.51
26,16.9031238556,1314193637.42
27,13.2909770012,1314193654.33
28,14.8980340958,1314193671.05
29,2.6331372261,1314193691.03
30,24.5286529064,1314193708.07
31,18.4470620155,1314193735.38
32,17.0018479824,1314193753.84
33,14.2401161194,1314193775.57
34,19.9534628391,1314193797.22
35,16.6342990398,1314193821.67
36,22.9393930435,1314193838.41
37,20.2464818954,1314193861.38
38,16.4048471451,1314193881.63
39,23.7931671143,1314193902.39
40,9.7967979908,1314193931.06
41,4.04479289055,1314193949.45
42,24.3742179871,1314193970.6
43,20.6431350708,1314193994.99
44,19.1091439724,1314194015.63
45,18.7698061466,1314194040.57
46,11.0919167995,1314194059.67
47,3.76877093315,1314194086.97
48,17.9026191235,1314194102.58
49,18.5701420307,1314194121.0
50,21.5758171082,1314194139.6
51,17.27866292,1314194161.18
52,12.2527308464,1314194181.84
53,5.47739911079,1314194202.14
54,19.9987459183,1314194226.86
55,5.24059605598,1314194253.51
56,22.2546458244,1314194271.53
57,14.9982638359,1314194293.8
58,6.58515405655,1314194314.19
59,19.6967599392,1314194334.47
60,24.0529699326,1314194359.79
61,15.5109219551,1314194385.2
62,20.8079609871,1314194401.01
63,12.741230011,1314194425.37
64,7.49304914474,1314194443.9
65,13.601421833,1314194462.01
66,11.7846319675,1314194482.84
67,20.5324530602,1314194503.03
68,13.6755759716,1314194528.28
69,5.29374599457,1314194545.58
70,4.01598906517,1314194560.49
71,22.2364890575,1314194581.67
72,23.7830581665,1314194603.93
73,21.8009819984,1314194627.92
74,14.590282917,1314194649.74
75,17.3112440109,1314194677.18
