NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
0,34.7802479267,34.8052940369
1,33.8550031185,68.7131018639
2,33.7037031651,103.362661839
3,33.8324358463,137.559156895
4,33.6646389961,171.549049854
5,33.694797039,205.878286839
6,35.3920660019,241.858442068
7,33.0836908817,274.94847703
8,33.1276979446,308.782331944
9,32.3000771999,341.429955006
10,32.9787290096,375.39261198
11,33.6251080036,409.793457985
12,33.1167929173,442.95540905
13,33.2718818188,476.59800005
14,33.0884571075,509.905813932
15,32.9594669342,543.458026886
16,33.522578001,578.270158052
17,33.5534749031,612.111163855
18,33.9430069923,646.223959923
19,32.970266819,679.287855864
20,32.9953968525,712.883539915
21,33.6562318802,747.44350791
22,33.5095090866,781.437577963
23,33.7828609943,815.746890068
24,33.8261868954,850.000341892
25,33.6721591949,883.897377014
26,33.8560259342,918.211263895
27,33.119946003,951.670523882
28,33.1332819462,985.499537945
29,33.5162649155,1019.76664495
30,34.0840950012,1053.99332285
31,34.2956111431,1088.37613392
32,34.6404099464,1123.71333599
33,34.4122788906,1158.15011501
34,33.3624391556,1191.85531497
35,32.7898979187,1225.29780889
36,33.5087490082,1259.81205392
37,32.7455208302,1293.35833097
38,33.4161880016,1327.77060485
39,33.6234869957,1361.94776607
40,33.5254871845,1396.33806491
41,33.5624799728,1430.28735089
42,34.0446560383,1464.69897985
43,33.6626820564,1498.38070107
44,34.0821340084,1532.76162004
45,34.1021380424,1566.87981105
46,33.9120981693,1600.85767794
47,33.6411941051,1634.54205704
48,33.2311470509,1667.77552605
49,33.7613720894,1701.98063803
50,34.1587438583,1736.43438292
51,33.9248220921,1770.59208894
52,34.0378141403,1804.76708388
53,33.5336911678,1838.98134494
54,33.9968140125,1873.18070602
55,33.2541561127,1906.58021688
56,33.9887831211,1941.23869705
57,33.7495100498,1974.99566603
58,32.952368021,2008.14863491
59,33.337678194,2042.32038283
60,33.1199851036,2076.21905804
61,33.3430700302,2110.82894588
62,33.4849839211,2145.02334285
63,33.775906086,2179.25220704
64,32.6846709251,2212.04850888
65,33.4985609055,2246.68738794
66,33.8127689362,2280.61187291
67,33.9159419537,2314.96145391
68,33.5344080925,2348.80848598
69,34.1322808266,2383.36895084
70,33.8063838482,2417.4431479
71,33.6037929058,2451.21054983
72,33.122631073,2485.02182603
73,34.787956953,2520.55762696
74,32.9568920135,2553.53369188
75,33.7836790085,2588.14366198
76,32.9013729095,2621.28030705
77,33.6055459976,2655.965657
78,33.786823988,2690.10657191
79,33.8529040813,2724.51301694
80,33.3359160423,2758.22070503
81,33.4924521446,2791.97459984
82,32.656498909,2824.63458395
83,33.1628861427,2858.47733593
84,33.5069379807,2892.14291596
85,32.8053991795,2925.21820307
86,33.5763800144,2959.59747601
87,33.4629020691,2993.30942392
88,33.608743906,3027.51689196
89,33.3794279099,3061.20933986
90,32.9279539585,3094.53497696
91,33.6154029369,3128.98366594
92,33.1409399509,3162.12736893
93,32.9062640667,3195.39975691
94,33.7568950653,3229.81996703
95,33.7539041042,3263.87523293
96,33.9647901058,3298.11193991
97,33.5786390305,3331.97990584
98,34.0528199673,3366.68126202
99,32.6673638821,3399.35067391
100,33.4987990856,3433.82147098
101,33.7889940739,3468.02668786
102,33.998431921,3502.08691001
103,34.2748188972,3536.36463284
104,34.2912769318,3570.77161193
105,33.6488080025,3604.48923302
106,34.8212249279,3639.90900087
107,33.8806540966,3673.79188704
108,34.6526930332,3708.99838996
109,34.2759001255,3743.276088
110,34.4240560532,3778.04439998
111,34.489989996,3812.68151283
112,34.0105009079,3846.74263501
113,34.4534049034,3881.82193804
114,34.0137000084,3915.89382386
115,34.5132579803,3950.97014189
116,33.7346820831,3985.07956886
117,33.4879128933,4018.79770803
118,33.222299099,4052.26176095
119,32.6501610279,4085.42205405
120,32.8687360287,4119.16458201
121,32.8896870613,4152.65451694
122,33.3733658791,4186.7437129
123,33.7181918621,4220.63062406
124,33.4270699024,4254.801934
125,33.3995759487,4288.67723298
126,33.5043849945,4322.44270897
127,32.7803709507,4355.26916695
128,33.3184099197,4389.12641191
129,33.6874470711,4423.59702492
130,33.5977900028,4457.21113586
131,33.2830359936,4490.76580191
132,33.3767678738,4524.52237201
133,33.9190678596,4559.29018593
134,32.9949519634,4592.29602385
135,32.8638219833,4626.06071687
136,33.1885399818,4659.88169789
137,33.1520109177,4693.65444088
138,33.9914178848,4728.22325802
139,33.4188928604,4761.67582703
140,33.1531889439,4795.14462304
141,33.5858719349,4829.29094601
142,33.5518810749,4863.63070893
143,33.0239498615,4897.35271788
144,34.1120581627,4932.41352296
145,33.52937603,4966.224437
146,33.851845026,5000.97329688
147,34.0587539673,5035.10944605
148,33.2348799706,5068.52332902
149,32.9874260426,5101.83449006
150,33.7981331348,5136.56687784
151,34.1840839386,5171.55581403
152,33.8630189896,5205.82173991
153,33.7870829105,5240.33614397
154,33.0367069244,5273.64782596
155,33.2216749191,5307.88064504
156,33.4369261265,5341.93755698
157,33.1819410324,5375.39261889
158,33.5490090847,5409.40645289
159,33.925755024,5443.63315701
160,33.7790651321,5477.68275499
