NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,41.9234540462,1314208780.88
1,24.0406970978,1314208827.25
2,32.4593300819,1314208860.48
3,16.5605111122,1314208893.41
4,19.0492489338,1314208915.34
5,15.3794119358,1314208939.03
6,11.5429878235,1314208959.58
7,27.3227040768,1314208979.47
8,11.3191039562,1314209022.36
9,14.5333509445,1314209045.32
10,16.9244720936,1314209074.65
11,13.3450951576,1314209096.31
12,3.858481884,1314209119.86
13,8.729596138,1314209136.51
14,6.45843601227,1314209154.43
15,12.1569328308,1314209179.81
16,11.2418699265,1314209193.35
17,4.82614398003,1314209213.31
18,11.0674321651,1314209235.65
19,10.1246061325,1314209249.2
20,5.10138487816,1314209266.91
21,8.1234459877,1314209279.28
22,4.47531509399,1314209291.99
23,11.3194439411,1314209306.52
24,5.74044489861,1314209320.9
25,3.91209888458,1314209334.83
26,3.74948906898,1314209351.56
27,2.85895991325,1314209369.2
28,4.17105484009,1314209385.68
29,3.60978293419,1314209397.86
30,5.17169809341,1314209417.72
31,4.09446883202,1314209430.82
32,3.23631119728,1314209449.94
33,5.46047401428,1314209471.21
34,3.71903300285,1314209485.32
35,2.80288481712,1314209504.6
36,13.4263999462,1314209526.25
37,16.1888420582,1314209548.6
38,3.17463088036,1314209572.44
39,9.55493998528,1314209598.83
40,8.44155621529,1314209619.13
41,4.01944494247,1314209640.24
42,5.22887611389,1314209663.08
43,17.5645720959,1314209680.77
44,13.9623060226,1314209707.16
45,17.991435051,1314209727.38
46,16.4017260075,1314209746.04
47,28.4364759922,1314209762.45
48,18.4758760929,1314209790.91
49,25.9080638885,1314209809.57
50,19.4877090454,1314209838.18
51,27.9015831947,1314209857.73
52,22.6085591316,1314209885.66
53,16.6522459984,1314209909.32
54,12.1256449223,1314209931.52
55,13.5002529621,1314209950.81
56,23.7104110718,1314209964.69
57,18.0739648342,1314209989.63
58,15.1322588921,1314210012.85
59,17.7081489563,1314210030.6
60,29.0467898846,1314210048.33
61,19.4073998928,1314210077.48
62,17.4861521721,1314210096.99
63,12.2080318928,1314210114.57
64,11.0420501232,1314210144.11
65,10.7179851532,1314210157.75
66,11.1921741962,1314210172.89
67,5.4071559906,1314210186.98
68,4.02569484711,1314210198.72
69,12.6002540588,1314210211.93
70,4.53316903114,1314210231.5
71,5.32921504974,1314210245.51
72,5.4730899334,1314210264.71
73,5.36917090416,1314210277.83
74,4.61919689178,1314210294.03
75,16.5310928822,1314210314.08
76,13.9166469574,1314210331.29
77,34.3754508495,1314210345.22
78,15.1751019955,1314210379.66
79,23.5979650021,1314210395.34
80,28.2086009979,1314210433.97
81,14.454668045,1314210462.65
82,16.3897471428,1314210484.06
83,17.6945581436,1314210500.47
84,13.8198471069,1314210518.19
85,16.1690511703,1314210532.11
86,17.0964179039,1314210549.06
87,9.73726511002,1314210571.44
