NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,11.644493103,1314193065.24
1,19.6000230312,1314193080.72
2,20.5151040554,1314193100.34
3,19.075083971,1314193120.85
4,31.0340838432,1314193141.49
5,20.8181409836,1314193172.56
6,19.3711600304,1314193193.39
7,10.9839708805,1314193217.77
8,19.6602210999,1314193235.1
9,12.0033791065,1314193254.8
10,5.12822699547,1314193274.55
11,18.5512020588,1314193292.57
12,25.9961769581,1314193317.01
13,24.4385130405,1314193343.02
14,21.4456558228,1314193367.48
15,15.6897568703,1314193391.48
16,19.1219060421,1314193420.2
17,12.0533359051,1314193441.84
18,4.22632694244,1314193463.94
19,17.8306469917,1314193485.37
20,18.128608942,1314193510.3
21,18.5828440189,1314193530.42
22,14.413120985,1314193553.6
23,18.3832890987,1314193570.99
24,7.34856987,1314193597.13
25,17.683838129,1314193613.47
26,6.08861207962,1314193637.37
27,16.7267608643,1314193654.27
28,6.3223938942,1314193671.0
29,14.7860980034,1314193690.97
30,20.5822060108,1314193708.02
31,14.4400689602,1314193735.33
32,9.52439403534,1314193753.78
33,4.91927599907,1314193775.51
34,21.4497830868,1314193797.16
35,15.1786270142,1314193821.62
36,18.8256530762,1314193838.25
37,19.5038380623,1314193861.3
38,20.7470390797,1314193881.58
39,28.6718161106,1314193902.33
40,18.3666701317,1314193931.03
41,15.0626559258,1314193949.42
42,19.6686890125,1314193970.55
43,7.62224197388,1314193994.92
44,17.2370820045,1314194015.58
45,6.99776101112,1314194040.51
46,18.7889099121,1314194059.61
47,11.0366380215,1314194086.91
48,3.81789207458,1314194102.53
49,4.15921092033,1314194120.94
50,20.6504690647,1314194139.52
51,20.6611919403,1314194161.12
52,20.2843329906,1314194181.79
53,23.7794549465,1314194202.09
54,26.6283249855,1314194226.81
55,13.2002160549,1314194253.44
56,21.4836728573,1314194271.48
57,20.3950481415,1314194293.73
58,20.2472708225,1314194314.15
59,24.0125670433,1314194334.4
60,17.7063350677,1314194359.73
61,15.7987799644,1314194385.14
62,24.358178854,1314194400.94
63,14.1401019096,1314194425.31
64,3.32530117035,1314194443.84
65,20.8211939335,1314194461.94
66,20.1896150112,1314194482.77
67,25.208384037,1314194502.99
68,14.0480358601,1314194528.22
69,7.56737589836,1314194545.52
70,19.2118680477,1314194560.43
71,21.0076038837,1314194581.59
72,23.9853570461,1314194603.84
73,21.2607800961,1314194627.86
74,27.4459130764,1314194649.66
75,23.4547810555,1314194677.12
76,21.5006248951,1314194700.59
77,14.6751310825,1314194722.1
78,19.7349338531,1314194742.28
79,16.5807199478,1314194762.04
80,21.6041550636,1314194779.58
81,17.6867260933,1314194803.11
82,19.9029688835,1314194822.86
83,11.4029300213,1314194842.78
84,3.82128500938,1314194863.54
85,17.4872639179,1314194881.79
86,15.5755839348,1314194904.25
87,15.9144799709,1314194925.37
88,16.9066798687,1314194941.28
89,26.6292569637,1314194958.83
90,15.9272108078,1314194985.47
91,5.07438206673,1314195005.27
92,22.719078064,1314195026.35
93,14.3107130527,1314195049.07
94,4.44320487976,1314195071.33
95,17.2911200523,1314195092.2
96,20.4094588757,1314195111.05
97,6.35854196548,1314195136.3
98,19.4487168789,1314195156.5
