NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
0,33.9250218868,33.9491300583
1,33.3454139233,67.7800409794
2,33.1753771305,101.173617125
3,33.3970940113,134.969326019
4,33.8896348476,168.916846991
5,33.1183400154,202.109049082
6,33.2441499233,235.791769981
7,33.2134020329,269.738075972
8,33.2048799992,303.458451033
9,33.0574119091,337.017914057
10,33.8865840435,371.50454998
11,34.0615999699,405.582221985
12,34.3621768951,439.954046011
13,34.2312788963,474.201855183
14,33.8068649769,508.099514961
15,33.7511489391,543.343917131
16,34.3582968712,577.725824118
17,34.0946390629,612.213479042
18,33.4727339745,645.929286003
19,33.662735939,679.602852106
20,33.3716700077,713.036129951
21,33.4120299816,746.804591179
22,33.1053500175,780.930014133
23,34.2844049931,815.786528111
24,33.4819860458,849.368374109
25,33.8798620701,883.480210066
26,33.659455061,917.268463135
27,33.6485090256,951.098730087
28,33.9768140316,985.634951115
29,34.6030509472,1020.26114106
30,34.0785908699,1054.34262204
31,33.7538099289,1088.09840798
32,34.0758709908,1122.51634598
33,34.0805299282,1156.61091304
34,33.642619133,1190.27386999
35,33.8486680984,1224.5085361
36,33.6519730091,1258.54120612
37,34.1839711666,1293.81200218
38,33.9211831093,1328.03180099
39,33.9052560329,1362.01245499
40,33.8235578537,1396.4289
41,33.5379328728,1431.29058504
42,34.2385430336,1465.55151606
43,33.6595938206,1499.22066808
44,33.5387830734,1532.76878405
45,33.5536038876,1566.325073
46,33.8942530155,1600.46698499
47,33.8354260921,1634.67291617
48,33.9333310127,1668.68041706
49,33.6895580292,1702.42729712
50,33.8831870556,1736.72297096
51,34.5063779354,1771.56294203
52,33.2163600922,1804.88652802
53,34.2025530338,1839.86195111
54,33.9878339767,1874.07331419
55,33.4732398987,1907.66628599
56,33.8088259697,1941.99849916
57,33.733905077,1975.81133819
58,33.7040569782,2009.94340897
59,33.1363630295,2043.55299115
60,33.6432209015,2078.09225011
61,33.4589059353,2112.26388001
62,33.8488419056,2146.73805809
63,33.4877910614,2180.58777404
64,33.8181319237,2214.92838407
65,33.6158139706,2248.64230418
66,33.3630869389,2282.30520296
67,33.7341389656,2316.44687605
68,33.6455249786,2350.30889416
69,33.4792430401,2384.10640502
70,33.6291081905,2418.08391809
71,33.7457540035,2452.36197209
72,33.4054150581,2486.13132405
73,33.3060390949,2519.62641096
74,33.9213221073,2553.92686296
75,33.7156801224,2587.86817408
76,33.4325919151,2621.60582519
77,34.0829021931,2655.806283
78,33.896832943,2689.7185781
79,34.0509600639,2723.78048611
80,33.4994180202,2757.30025911
81,33.5811049938,2791.00368619
82,33.5047221184,2824.62449098
83,33.6726109982,2858.59705114
84,33.9028348923,2892.5116291
85,33.6771609783,2926.22436118
86,33.7553391457,2960.13437104
87,33.5519371033,2993.70334697
88,33.6935899258,3027.41504908
89,33.8965859413,3061.44618917
90,33.9940180779,3095.5736351
91,33.5458710194,3129.2337451
92,33.3911139965,3162.91270614
93,33.6261479855,3196.63879108
94,33.8528950214,3230.95570898
95,33.7141709328,3264.72655416
96,33.4152247906,3298.32239103
97,33.5956139565,3332.00247598
98,32.8824620247,3364.90924716
99,33.4817619324,3398.78311801
100,33.8052229881,3432.80685306
101,33.3543641567,3466.48342705
102,34.1132590771,3500.59841204
103,34.0688049793,3534.66996717
104,33.5636098385,3568.28029704
105,33.3137049675,3601.61289096
106,33.0868649483,3634.99191904
107,33.5871601105,3669.52657318
108,33.4121928215,3703.37055397
109,33.4531869888,3736.83210707
110,33.6715090275,3770.65908813
111,33.8914160728,3804.57482815
112,33.8229310513,3838.41265202
113,33.4051101208,3871.823735
114,34.7186667919,3907.15156698
115,33.4607069492,3940.61974502
116,33.9651179314,3974.72106695
117,33.4301018715,4008.19575906
118,33.676956892,4042.32032204
119,33.3836050034,4076.0180521
