NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
0,41.4462740421,1314208780.28
1,26.0522260666,1314208826.67
2,28.5520839691,1314208859.89
3,21.8194007874,1314208892.82
4,23.6841380596,1314208914.74
5,19.2115960121,1314208938.45
6,15.0199809074,1314208958.99
7,41.9502999783,1314208978.88
8,14.3198108673,1314209021.77
9,29.3031790257,1314209044.72
10,18.4584629536,1314209074.09
11,20.9674141407,1314209095.72
12,16.6239068508,1314209119.28
13,17.9012420177,1314209135.92
14,25.2925958633,1314209153.85
15,13.1168899536,1314209179.23
16,17.7332420349,1314209192.77
17,7.42267203331,1314209212.72
18,13.5262389183,1314209235.06
19,16.1223168373,1314209248.61
20,12.358921051,1314209266.32
21,12.6866967678,1314209278.7
22,14.1327009201,1314209291.47
23,14.335725069,1314209305.94
24,13.8987901211,1314209320.32
25,16.6100430489,1314209334.25
26,17.6230170727,1314209350.98
27,16.4143550396,1314209368.63
28,11.2093169689,1314209385.18
29,12.2841198444,1314209397.27
30,3.3237760067,1314209417.13
31,13.311360836,1314209430.24
32,20.2178900242,1314209449.35
33,14.0523629189,1314209470.66
34,18.58020401,1314209484.73
35,15.9147229195,1314209504.01
36,14.348815918,1314209525.67
37,21.3289628029,1314209548.01
38,22.0429830551,1314209571.89
39,20.2591378689,1314209598.25
40,17.4135980606,1314209618.63
41,17.8884379864,1314209639.66
42,14.7964999676,1314209662.51
43,14.1225650311,1314209680.18
44,13.3697249889,1314209706.57
45,3.21874117851,1314209726.79
46,14.0601980686,1314209745.45
47,24.6442220211,1314209761.86
48,10.5295701027,1314209790.3
49,27.8462338448,1314209808.98
50,12.2744898796,1314209837.59
51,16.1538469791,1314209857.09
52,13.5790212154,1314209885.05
53,17.8286240101,1314209908.75
54,16.0291438103,1314209930.92
55,5.19566392899,1314209950.22
56,21.727891922,1314209964.09
57,14.4573960304,1314209989.04
58,15.7786471844,1314210012.26
59,14.8672997952,1314210030.01
60,17.0512840748,1314210047.74
61,16.038711071,1314210076.87
62,16.0235300064,1314210096.32
63,24.8101189137,1314210113.98
64,13.632160902,1314210143.53
