NewTest,SeekAndWrite,bachelor1-VirtualBox
0,7.45225381851,1317843914.45
1,134.308892965,1317843922.25
2,1.04072618484,1317844062.39
3,29.7780900002,1317844063.54
4,105.667394161,1317844095.0
5,111.859385967,1317844202.28
6,151.731590033,1317844316.51
7,41.6827909946,1317844469.92
8,132.865967989,1317844512.62
9,160.848044157,1317844648.47
10,53.5032429695,1317844812.85
11,104.855406046,1317844866.74
12,125.926770926,1317844974.45
13,150.116070032,1317845101.57
14,45.1377418041,1317845253.99
15,5.74178814888,1317845299.98
16,41.4083769321,1317845306.26
17,89.8932650089,1317845349.21
18,150.722608805,1317845443.54
19,2.49054598808,1317845596.69
20,18.7826988697,1317845600.33
21,65.2355279922,1317845620.73
22,108.794778824,1317845688.71
23,4.7148771286,1317845800.06
24,101.236452103,1317845804.8
25,51.3317170143,1317845907.34
26,75.3813631535,1317845959.9
27,9.59994792938,1317846036.38
28,5.09203195572,1317846046.22
29,18.9456281662,1317846051.57
30,140.134454012,1317846071.2
31,133.960187912,1317846214.01
32,98.1594150066,1317846350.75
33,20.426856041,1317846451.53
34,130.420689106,1317846472.33
35,51.6041879654,1317846606.6
36,85.0636022091,1317846660.32
37,85.5074141026,1317846748.22
38,114.317913055,1317846839.44
39,38.6365430355,1317846957.83
40,2.10567903519,1317846998.54
41,85.9964148998,1317847001.25
42,18.346143961,1317847089.6
43,11.3362958431,1317847109.24
44,55.0105190277,1317847121.12
45,2.47282886505,1317847177.25
46,29.4399080276,1317847179.75
47,53.0701730251,1317847209.29
48,8.19706201553,1317847262.38
49,30.5109810829,1317847270.59
50,115.491374969,1317847302.11
51,68.7873651981,1317847419.59
52,143.309262037,1317847490.66
53,143.697900057,1317847635.49
54,126.85135293,1317847783.01
55,78.2172350883,1317847913.53
56,2.10369420052,1317847993.35
57,75.5843429565,1317847995.61
58,84.3249390125,1317848073.07
59,7.15960812569,1317848158.31
60,49.2837660313,1317848165.96
61,150.880750895,1317848215.49
62,42.572742939,1317848369.01
63,105.734951973,1317848411.69
64,38.0594308376,1317848518.33
65,67.9398958683,1317848556.42
66,52.092113018,1317848625.59
67,0.438560962677,1317848678.95
68,42.9524149895,1317848679.42
69,126.597194195,1317848722.88
70,3.26882505417,1317848852.48
71,142.16833806,1317848856.28
72,94.0938799381,1317849000.76
73,19.8452398777,1317849095.29
74,115.427214146,1317849115.23
75,13.0368139744,1317849233.47
76,63.5679728985,1317849246.54
77,13.1488208771,1317849312.72
78,32.4700291157,1317849326.92
79,123.151697159,1317849361.68
80,93.453840971,1317849486.28
81,51.7672350407,1317849580.67
82,112.659039974,1317849632.76
83,48.4710290432,1317849746.26
84,3.73623394966,1317849794.78
85,115.247202873,1317849798.63
86,30.9819369316,1317849915.57
87,80.2970178127,1317849946.58
88,76.4087750912,1317850026.92
89,51.2592029572,1317850105.51
90,107.026689053,1317850157.75
91,2.68016815186,1317850266.14
92,50.0191259384,1317850269.19
93,52.715294838,1317850320.35
94,85.609349966,1317850374.16
95,129.544095993,1317850460.35
96,72.4485280514,1317850592.77
97,1.52009487152,1317850666.19
98,16.6450409889,1317850668.56
99,9.08456802368,1317850685.28
EndTest
