NewTest,SeekIndex,bachelor2-VirtualBox
0,0.240175962448,1320062848.41
1,0.194927930832,1320062848.77
2,0.767389059067,1320062849.56
3,0.352036952972,1320062850.91
4,0.389981031418,1320062851.44
5,0.42994093895,1320062852.02
6,0.304188013077,1320062852.63
7,0.373330116272,1320062853.1
8,0.243824958801,1320062853.72
9,0.220681190491,1320062854.19
10,0.877075195312,1320062855.15
11,0.65478014946,1320062856.06
12,0.359483003616,1320062856.83
13,0.262881040573,1320062857.3
14,0.259189128876,1320062857.9
15,0.135735034943,1320062858.37
16,0.296234130859,1320062858.73
17,0.139497995377,1320062859.08
18,1.26114797592,1320062860.11
19,0.340544939041,1320062861.4
20,0.337161064148,1320062862.0
21,0.315828084946,1320062862.53
22,0.262809991837,1320062863.05
23,0.264939069748,1320062863.46
24,0.239114046097,1320062863.9
25,0.309255838394,1320062864.83
26,0.445662021637,1320062865.47
27,0.987800121307,1320062865.95
28,0.379063129425,1320062866.98
29,0.225004911423,1320062867.47
30,0.199234008789,1320062867.96
31,0.17554807663,1320062868.44
32,0.409066915512,1320062869.01
33,0.262665987015,1320062869.6
34,0.739737987518,1320062870.82
35,0.524102210999,1320062871.65
36,0.401388883591,1320062872.37
37,0.401212930679,1320062872.89
38,0.27866101265,1320062873.43
39,0.339610815048,1320062873.99
40,0.24879193306,1320062874.5
41,0.253228902817,1320062875.25
42,0.231771945953,1320062875.67
43,0.382827043533,1320062876.71
44,0.49156999588,1320062877.28
45,0.471661090851,1320062878.18
46,0.402846097946,1320062878.86
47,0.452924966812,1320062879.41
48,0.679012060165,1320062880.72
49,0.517149925232,1320062881.55
50,0.386711120605,1320062882.25
51,0.501682043076,1320062882.71
52,0.420880079269,1320062883.35
53,0.237888097763,1320062883.87
54,0.339993000031,1320062884.44
55,0.374737977982,1320062885.05
56,1.09828400612,1320062885.93
57,0.46452498436,1320062887.04
58,0.450992107391,1320062887.75
59,0.185079097748,1320062888.33
60,0.216634988785,1320062888.79
61,0.229871988297,1320062889.18
62,0.360248804092,1320062889.76
63,0.38590502739,1320062890.2
64,0.868119955063,1320062891.04
65,0.325721025467,1320062892.19
66,0.398525953293,1320062892.78
67,0.260350942612,1320062893.31
68,0.639348983765,1320062894.24
69,0.339707136154,1320062894.89
70,0.81393289566,1320062895.71
71,0.446332216263,1320062896.74
72,0.36078286171,1320062897.39
73,0.229969024658,1320062897.93
74,0.27391409874,1320062898.44
75,0.284281015396,1320062898.94
76,0.263164997101,1320062899.29
77,0.305309057236,1320062899.82
78,1.29575800896,1320062900.43
79,0.435074090958,1320062901.86
80,0.308694124222,1320062902.54
81,0.294469118118,1320062903.26
82,0.375983953476,1320062903.87
83,0.302114963531,1320062904.34
84,0.444520950317,1320062905.17
85,0.962361812592,1320062905.68
86,0.361413955688,1320062906.92
87,0.375225067139,1320062907.72
88,0.369838953018,1320062908.34
89,0.359536170959,1320062908.92
90,0.269066095352,1320062909.34
91,0.335982084274,1320062909.87
92,0.324335098267,1320062910.59
93,0.351571083069,1320062911.62
94,0.292613983154,1320062912.52
95,0.302292823792,1320062912.96
96,0.307784080505,1320062913.53
97,0.311555147171,1320062914.18
98,0.375681877136,1320062914.71
99,0.198616981506,1320062915.19
100,0.925173997879,1320062915.84
101,0.397564172745,1320062916.89
102,0.440814971924,1320062918.05
103,0.3606300354,1320062918.7
104,0.375203132629,1320062919.4
105,0.387037992477,1320062920.06
106,0.291064023972,1320062920.54
107,1.04395914078,1320062920.95
108,0.340400934219,1320062922.02
109,0.178046941757,1320062922.87
110,0.65017414093,1320062923.21
111,0.219660997391,1320062923.9
112,0.304571866989,1320062924.34
113,0.262988090515,1320062924.84
114,0.268065929413,1320062925.35
115,0.867613077164,1320062926.03
116,0.506727933884,1320062926.91
117,0.503904819489,1320062927.93
118,0.516805171967,1320062928.52
119,0.317023038864,1320062929.19
120,0.263561010361,1320062929.63
121,0.434376001358,1320062930.19
122,0.153466939926,1320062930.69
123,0.434674024582,1320062931.41
124,0.570946931839,1320062931.96
125,0.190918207169,1320062932.8
126,0.281595230103,1320062933.67
127,0.248513936996,1320062934.21
128,0.261136054993,1320062934.75
129,0.295274019241,1320062935.25
130,0.380539894104,1320062935.8
131,0.618960142136,1320062936.31
132,0.582196950912,1320062937.07
133,0.342230081558,1320062937.84
134,0.177420139313,1320062939.01
135,0.413089036942,1320062939.33
136,0.248183012009,1320062939.88
137,0.261934995651,1320062940.4
138,0.236258029938,1320062940.77
139,0.757140159607,1320062941.25
140,0.579544067383,1320062942.16
141,0.228771924973,1320062943.25
142,0.387917995453,1320062943.98
143,0.485923051834,1320062944.69
144,0.334400892258,1320062945.24
145,0.263845920563,1320062945.77
146,0.554608821869,1320062946.35
147,0.67098402977,1320062947.25
148,0.663343906403,1320062948.0
149,0.601920127869,1320062949.2
150,0.319890022278,1320062949.85
151,0.305779933929,1320062950.61
152,0.256270170212,1320062951.09
153,0.151625156403,1320062951.5
154,0.378942966461,1320062952.03
155,0.341199874878,1320062952.92
156,0.710541009903,1320062953.37
157,0.695728063583,1320062954.22
158,0.332602977753,1320062955.02
159,0.584641933441,1320062955.62
160,0.35604095459,1320062956.41
161,0.251652002335,1320062956.95
162,0.21169090271,1320062957.38
163,0.400508880615,1320062957.7
164,0.38178896904,1320062958.13
165,0.930860996246,1320062958.7
166,0.51663184166,1320062959.85
167,0.251062870026,1320062960.54
168,0.373748779297,1320062961.07
169,0.396258115768,1320062961.83
170,0.18901515007,1320062962.48
171,0.250370025635,1320062963.1
172,0.236968994141,1320062963.66
173,0.930763959885,1320062964.31
174,0.394198179245,1320062965.27
175,0.290225028992,1320062966.01
176,0.262386083603,1320062966.63
177,0.309028863907,1320062967.41
178,0.149961948395,1320062967.86
179,0.157706975937,1320062968.45
180,0.214202165604,1320062969.11
181,0.347167015076,1320062969.96
182,0.228187799454,1320062970.44
183,0.266610860825,1320062970.88
184,0.286103963852,1320062971.3
185,0.289988040924,1320062971.85
186,0.463011026382,1320062972.75
187,0.345523118973,1320062973.33
188,0.480995178223,1320062973.81
189,0.612515926361,1320062974.93
190,0.556743860245,1320062975.59
191,1.08495521545,1320062976.27
192,0.7915558815,1320062977.42
193,0.623751878738,1320062978.26
194,0.402863025665,1320062979.35
195,0.309387922287,1320062979.97
196,0.280385017395,1320062980.33
197,0.342252016068,1320062980.87
198,0.252609968185,1320062981.51
199,0.29939198494,1320062981.99
200,0.46236205101,1320062982.49
201,0.738028049469,1320062983.3
202,0.263198852539,1320062984.51
203,0.309194087982,1320062985.07
204,0.344691991806,1320062985.68
205,0.42261505127,1320062986.3
206,0.30783700943,1320062986.98
207,1.06779313087,1320062988.03
208,0.558964014053,1320062989.12
209,0.420852899551,1320062989.91
210,0.193878889084,1320062990.52
211,0.343236923218,1320062991.15
212,0.293220043182,1320062991.56
213,0.333578109741,1320062992.24
214,0.251233816147,1320062992.86
215,0.846997022629,1320062993.67
216,0.0969469547272,1320062994.62
217,0.49684882164,1320062994.86
218,0.372905015945,1320062995.52
219,0.25864815712,1320062996.04
220,0.277330875397,1320062996.41
221,0.268737077713,1320062997.1
222,0.265074014664,1320062997.49
223,0.315567016602,1320062998.02
224,0.967408895493,1320062998.91
225,0.450000047684,1320063000.04
226,0.268326997757,1320063000.6
227,0.303070068359,1320063001.15
228,0.214071989059,1320063001.65
229,0.326912879944,1320063002.06
230,0.212606191635,1320063002.54
231,0.629849910736,1320063003.16
232,1.21984601021,1320063003.98
233,0.613228797913,1320063005.21
234,0.341560125351,1320063006.05
235,0.242938995361,1320063006.52
236,0.597501039505,1320063006.94
237,0.325273990631,1320063007.74
238,0.31249499321,1320063008.47
239,0.798152208328,1320063009.11
240,0.256088972092,1320063010.01
241,0.51682806015,1320063010.5
242,0.350572109222,1320063011.22
243,0.279736042023,1320063011.67
244,0.379536151886,1320063012.26
245,0.349429130554,1320063012.7
246,0.549691915512,1320063013.28
247,1.18272614479,1320063014.06
248,0.339760065079,1320063015.26
249,0.416550159454,1320063015.91
250,0.311979055405,1320063016.41
251,0.278913021088,1320063016.92
252,0.301810026169,1320063017.35
253,0.227943181992,1320063017.77
254,0.310992002487,1320063018.2
255,0.296895980835,1320063019.01
256,0.926359176636,1320063019.5
257,0.354630231857,1320063020.62
258,0.250968933105,1320063021.13
259,0.349483966827,1320063021.79
260,0.328320026398,1320063022.33
261,0.291748046875,1320063022.89
262,0.418299913406,1320063023.35
263,0.279376029968,1320063024.01
264,0.404050827026,1320063024.47
265,0.826679944992,1320063025.3
266,0.276989936829,1320063026.22
267,0.447336912155,1320063026.8
