NewTest,TCP,bachelor4-VirtualBox
0,6.25239109993,1317315683.65
1,0.124007940292,1317315689.9
2,0.100005865097,1317315690.03
3,3.11619520187,1317315690.13
4,3.11219382286,1317315693.24
5,0.0800051689148,1317315696.35
6,0.0880060195923,1317315696.43
7,0.0760037899017,1317315696.52
8,0.072005033493,1317315696.6
9,0.112007141113,1317315696.67
10,0.0920059680939,1317315696.78
11,0.0800049304962,1317315696.87
12,0.0720040798187,1317315696.95
13,0.0800049304962,1317315697.03
14,0.072005033493,1317315697.11
15,0.0760040283203,1317315697.18
16,0.164011001587,1317315697.25
17,0.136008024216,1317315697.42
18,0.120007991791,1317315697.56
19,0.116007089615,1317315697.68
20,0.120007991791,1317315697.79
21,0.116006851196,1317315697.91
22,0.120007038116,1317315698.03
23,0.108006954193,1317315698.15
24,0.13600897789,1317315698.26
25,0.112007141113,1317315698.39
26,0.124006986618,1317315698.51
27,0.132009029388,1317315698.63
28,0.128007888794,1317315698.76
29,0.124006986618,1317315698.89
30,0.116008043289,1317315699.01
31,0.120007038116,1317315699.13
32,0.124007940292,1317315699.25
33,0.120007038116,1317315699.37
34,0.124007940292,1317315699.49
35,0.124007940292,1317315699.62
36,0.128008127213,1317315699.74
37,0.120007038116,1317315699.87
38,0.124007940292,1317315699.99
39,0.13600897789,1317315700.11
40,0.128008127213,1317315700.25
41,0.124006986618,1317315700.38
42,0.116007804871,1317315700.5
43,0.112007141113,1317315700.62
44,0.132008075714,1317315700.73
45,0.116006851196,1317315700.86
46,0.132008075714,1317315700.98
47,0.144008874893,1317315701.11
48,0.116008043289,1317315701.25
49,0.120007038116,1317315701.37
50,0.13600897789,1317315701.49
51,0.116007089615,1317315701.63
52,0.120007038116,1317315701.74
53,12.1567599773,1317315701.86
54,0.13600897789,1317315714.02
55,0.112006902695,1317315714.16
56,0.100006103516,1317315714.27
57,0.100005865097,1317315714.37
58,0.096006155014,1317315714.47
59,0.100005865097,1317315714.56
60,0.124008178711,1317315714.66
61,0.104006767273,1317315714.79
62,3.1481962204,1317315714.89
63,0.120007991791,1317315718.04
64,0.100005865097,1317315718.16
65,0.108006954193,1317315718.26
66,0.120007038116,1317315718.37
67,0.128008127213,1317315718.49
68,0.100006818771,1317315718.62
69,0.120007038116,1317315718.72
70,0.14000916481,1317315718.84
71,0.100005865097,1317315718.98
72,0.100006103516,1317315719.08
73,0.128007888794,1317315719.18
74,0.096006155014,1317315719.3
75,0.104006767273,1317315719.4
76,0.120007038116,1317315719.5
77,0.10000705719,1317315719.62
78,0.100006103516,1317315719.72
79,0.104005813599,1317315719.82
80,0.120007991791,1317315719.93
81,0.108007192612,1317315720.05
82,0.100005865097,1317315720.16
83,0.108006954193,1317315720.26
84,0.120007038116,1317315720.36
85,0.104007005692,1317315720.48
86,0.108006000519,1317315720.59
87,0.108006954193,1317315720.7
88,0.136009216309,1317315720.8
89,0.124006986618,1317315720.94
90,0.124007940292,1317315721.06
91,0.108006954193,1317315721.19
92,0.104006052017,1317315721.3
93,0.112006902695,1317315721.4
94,0.108006954193,1317315721.51
95,0.104007005692,1317315721.62
96,0.112007141113,1317315721.72
97,0.108006000519,1317315721.84
98,0.112006902695,1317315721.94
99,0.096006155014,1317315722.06
100,0.0920059680939,1317315722.15
101,0.100005865097,1317315722.24
102,0.120007991791,1317315722.34
103,0.116007089615,1317315722.46
104,0.104007005692,1317315722.58
105,0.112006902695,1317315722.68
106,0.100006103516,1317315722.8
107,0.108006954193,1317315722.9
108,0.152009010315,1317315723.0
109,18.2091379166,1317315723.16
110,12.1687610149,1317315741.37
111,9.1965739727,1317315753.53
112,3.09619402885,1317315762.73
113,0.100006103516,1317315765.83
114,0.10000705719,1317315765.93
115,0.108006000519,1317315766.03
116,0.112006902695,1317315766.14
117,0.108006954193,1317315766.25
118,0.116007089615,1317315766.36
119,0.120007991791,1317315766.47
120,0.0960059165955,1317315766.59
121,0.100006103516,1317315766.69
122,0.108006954193,1317315766.79
123,0.104006052017,1317315766.9
124,0.104006052017,1317315767.01
125,0.104007005692,1317315767.11
126,0.100006103516,1317315767.21
127,0.112006902695,1317315767.31
128,0.104006052017,1317315767.43
129,0.112006902695,1317315767.53
130,0.104007005692,1317315767.64
131,0.116007089615,1317315767.75
132,0.124007940292,1317315767.86
133,0.096006155014,1317315767.99
134,0.112006902695,1317315768.08
135,0.104006052017,1317315768.19
136,0.100006818771,1317315768.3
137,0.116007089615,1317315768.4
138,0.128008127213,1317315768.51
139,3.16019678116,1317315768.64
140,3.21620106697,1317315771.8
141,0.104007005692,1317315775.02
142,0.096006155014,1317315775.12
143,0.0880048274994,1317315775.22
144,0.108006954193,1317315775.31
145,0.120007991791,1317315775.42
146,0.124007225037,1317315775.54
147,0.112006902695,1317315775.66
148,0.108006954193,1317315775.77
149,0.120007991791,1317315775.88
150,0.116007089615,1317315776.0
151,0.104006052017,1317315776.12
152,0.108006954193,1317315776.22
153,0.116006851196,1317315776.33
154,0.120007991791,1317315776.44
155,0.116007089615,1317315776.56
156,0.0920059680939,1317315776.68
157,0.096006155014,1317315776.77
158,0.100005865097,1317315776.87
159,0.104007005692,1317315776.97
160,0.116007089615,1317315777.07
161,3.16019701958,1317315777.19
162,0.276017904282,1317315780.35
163,0.104006052017,1317315780.62
164,0.108006954193,1317315780.73
165,0.108006954193,1317315780.84
166,9.1765730381,1317315780.94
167,0.120007991791,1317315790.12
168,0.108006000519,1317315790.24
169,0.164011001587,1317315790.35
170,0.124006986618,1317315790.51
